"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene1",35.6924200965392,-1.08366836331534,0.77370447106045,-1.40062311108277,0.161326806157498,0.998863044358977
"gene2",69.4994803769549,-0.0653525995706068,0.598390650533659,-0.109213938273139,0.913032805296254,0.998863044358977
"gene3",4.60292921979754,1.91589459407151,1.9177910400607,0.999011130019081,0.317789299648773,0.998863044358977
"gene4",27.0122912560732,0.0837268648622408,0.84617944945139,0.0989469372206145,0.921180401218521,0.998863044358977
"gene5",0.497219523212688,-0.0567779941778731,4.9887946806383,-0.0113811046179613,0.990919388375448,0.998863044358977
"gene6",0,NA,NA,NA,NA,NA
"gene7",3.44445026585085,0.0207304119976469,2.31753990996126,0.00894500755242376,0.99286301175328,0.998863044358977
"gene8",31.003199380841,-0.109906517058396,0.801026802141569,-0.137207040718935,0.89086714585762,0.998863044358977
"gene9",26.9147922334216,0.0472350676799942,0.831775197093018,0.0567882618345398,0.954713864548026,0.998863044358977
"gene10",6.60812204099061,0.758619604044281,1.53583274364401,0.493946757668635,0.621343781498058,0.998863044358977
"gene11",4.79592484069906,-0.866647277049348,1.86372538001807,-0.465008035165,0.641925702441484,0.998863044358977
"gene12",9.42167049216247,-3.09868897137633,1.70595912618706,-1.8163910985969,0.069310399684866,0.998863044358977
"gene13",12.2049009101871,0.315022793034117,1.34329007380531,0.234515834797849,0.81458454152093,0.998863044358977
"gene14",1.49055081764058,0.943231314999202,3.27200936669563,0.288272804045106,0.773137923163268,0.998863044358977
"gene15",49.4425299880916,0.446627166346615,0.712289359950891,0.627030518015048,0.53063923076823,0.998863044358977
"gene16",0.722739375045248,3.00279763459716,4.85768093368908,0.618154562966888,0.536473458127181,0.998863044358977
"gene17",26.1997324031185,0.682861024659892,0.843730557849951,0.809335419117689,0.418322238290226,0.998863044358977
"gene18",53.9292501043708,0.681659847410528,0.698869048453701,0.975375642860062,0.329373961157097,0.998863044358977
"gene19",3.4054132068958,1.38024456200135,2.34609407598103,0.588315948679165,0.55632024251924,0.998863044358977
"gene20",53.1422941549248,0.0667669614400405,0.660889118486842,0.101025965736747,0.919529847945196,0.998863044358977
"gene21",5.95155095713969,1.92979094757091,1.99465037259645,0.967483311403031,0.333302480011622,0.998863044358977
"gene22",13.0134465607614,0.468532493374079,1.16222737148523,0.403133246445,0.686850203889547,0.998863044358977
"gene23",2.65733289705408,-0.797751528563025,2.36405342636897,-0.33745071903401,0.735777156124698,0.998863044358977
"gene24",37.0384101997285,0.0481966966575046,0.990274322892143,0.0486700458078564,0.961182247557302,0.998863044358977
"gene25",8.89087064626376,-3.02651135385867,1.5366481315982,-1.96955392169769,0.0488895169822915,0.998863044358977
"gene26",7.59961042509891,1.2264465665253,1.6799638890364,0.730043410176374,0.465363650342685,0.998863044358977
"gene27",4.01771469981635,-1.62088241082968,2.06002585482737,-0.786826246394614,0.431383586852382,0.998863044358977
"gene28",5.22015796931565,0.082683342364003,1.82095688336963,0.045406534948263,0.963783272226337,0.998863044358977
"gene29",10.3603842049808,0.925148488533997,1.38594439734022,0.667522081195649,0.504438710034475,0.998863044358977
"gene30",201.13875931097,0.887208678099022,0.464390444615687,1.91048004623188,0.0560714331386511,0.998863044358977
"gene31",112.888511670904,0.465972429048248,0.556580617142144,0.837205635080972,0.40247699054691,0.998863044358977
"gene32",24.4808689099587,-0.447001888233543,0.983510926577161,-0.454496107927555,0.649471792624564,0.998863044358977
"gene33",8.25267195611971,1.04881032588669,1.49767070964288,0.70029434316491,0.483743503762611,0.998863044358977
"gene34",83.533177194387,-0.237971534528448,0.676906489570377,-0.351557472405805,0.725170163671349,0.998863044358977
"gene35",4.63661381560286,3.07891037839519,2.01049880757213,1.53141616737056,0.125666570883669,0.998863044358977
"gene36",0.469569936002405,-2.39034129651637,4.89666917468052,-0.48815658384198,0.625438934290701,0.998863044358977
"gene37",10.1875570007198,-1.6692052661212,1.30860126936396,-1.27556445588082,0.202109525563348,0.998863044358977
"gene38",61.9537319442317,0.366260148248065,0.622235481141435,0.588619838226187,0.556116322935811,0.998863044358977
"gene39",21.115402139843,-0.0781885811161076,0.921991318670943,-0.0848040318089079,0.932417188169959,0.998863044358977
"gene40",67.1820372021168,-0.793619507896364,0.658340058701529,-1.20548567173879,0.228015866081374,0.998863044358977
"gene41",1.73962130682683,0.409791788866015,3.09561711813347,0.132378060085513,0.894685267457763,0.998863044358977
"gene42",120.093774489503,-0.077665912153581,0.540671368752512,-0.143647170244615,0.885779090429251,0.998863044358977
"gene43",6.02311964796836,-0.347929340655813,1.88251838638379,-0.184821217775283,0.853369265179368,0.998863044358977
"gene44",44.6726581349403,-0.040603230538003,0.688835262677081,-0.0589447618871936,0.952996105178998,0.998863044358977
"gene45",14.0879216139566,0.111079065778839,1.11217096495493,0.099875890738921,0.920442857031823,0.998863044358977
"gene46",2.90022261634964,2.29660660790669,2.64826737695454,0.867211002896446,0.385826408703703,0.998863044358977
