"term"	"name"	"nAnno"	"nOverlap"	"fc"	"zscore"	"pvalue"	"adjp"	"or"	"CIl"	"CIu"	"distance"	"namespace"	"members_Overlap"	"members_Anno"
"KEGG_ALLOGRAFT_REJECTION"	"Allograft rejection"	35	6	26.3	12.1	2.4e-09	8.3e-08	33.4	11.1	84.2	"After transplantation of organ allografts, there are two pathways of antigen presentation. In the direct pathway, recipient T cells react to intact allogeneic MHC molecules expressed on the surface of donor cells. This pathway would activate host CD4 or CD8 T cells. In contrast, donor MHC molecules (and all other proteins) shed from the graft can be taken up by host APCs and presented to recipient T cells in the context of self-MHC molecules - the indirect pathway. Such presentation activates predominantly CD4 T cells. A direct cytotoxic T-cell attack on graft cells can be made only by T cells that recognize the graft MHC molecules directly. Nontheless, T cells with indirect allospecificity can contribute to graft rejection by activating macrophages, which cause tissue injury and fibrosis, and are also likely to be important in the development of an alloantibody response to graft."	"C2"	"FAS, HLA-B, HLA-C, HLA-DRA, HLA-DRB1, IL12B"	"CD28, CD40, CD40LG, CD80, CD86, FAS, FASLG, GZMB, HLA-A, HLA-B, HLA-C, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB5, HLA-E, HLA-F, HLA-G, IFNG, IL10, IL12A, IL12B, IL2, IL4, IL5, PRF1, TNF"
"BIOCARTA_TH1TH2_PATHWAY"	"Th1/Th2 Differentiation"	19	4	32.2	11	1.2e-07	1.1e-06	42.1	10	135	"Helper T cells are found in two distinct cell types, Th1 and Th2, distinguished by the cytokines they produce and respond to and the immune responses they are involved in. Th1 cells produce pro-inflammatory cytokines like IFN-g, TNF-b and IL-2, while Th2 cells produce the cytokines IL-4, IL-5, IL-6 and IL-13. The cytokines produced by Th1 cells stimulate the phagocytosis and destruction of microbial pathogens while Th2 cytokines like IL-4 generally stimulate the production of antibodies directed toward large extracellular parasites. IL-5 stimulates eosinophil responses, also part of the immune response toward large extracellular parasites Th1 and Th2 are produced by differentiation from a non-antigen exposed precursor cell type, Thp. Exposure of Thp cells to antigen by antigen-presenting cells may result in their differentiation to Th0 cells, not yet committed to become either Th1 or Th2 cells, although the existence of Th0 cells is controversial. Cells committed as either Th1 and Th2 cells are called polarized, whether they are effector cells actively secreting cytokines or are memory cells. The stimulation of Thp cells by exposure to antigen-presenting cells induces the proliferation of undifferentiated cells, and their expression of IL-2 and IL-2 receptor. The differentiation of Th1 cells and Th2 cells depends on the cytokines they are exposed to. IL-12 causes Th1 differentiation and blocks Th2 cell production , while IL-4 causes Th2 differentiation and antagonizes Th1 development. IL-18 also induces Th1 differentiation. Polarized Th1 and Th2 cells also express distinct sets of chemokine receptors that further modify their homing and other cellular responses. Improved understanding of Th1 and Th2 differentiation will improve our overall understanding of the immune system, its response to infection and aberrant responses that lead to disease."	"C2"	"HLA-DRA, HLA-DRB1, IFNGR1, IL12B"	"CD28, CD40, CD40LG, CD86, HLA-DRA, HLA-DRB1, IFNG, IFNGR1, IFNGR2, IL12A, IL12B, IL12RB1, IL12RB2, IL18, IL18R1, IL2, IL2RA, IL4, IL4R"
"BIOCARTA_BLYMPHOCYTE_PATHWAY"	"B Lymphocyte Cell Surface Molecules"	11	3	41.8	11	5.4e-07	3.8e-06	58.6	9.87	249	"B cells must communicate with their environment to participate in the immune system as the source of antigen-specific immunoglobulins. Cell surface proteins on B cells receive signals from the exterior, adhere to other cells, and transmit signals to other cells. Antigen recognized by a B cell's immunoglobulin is presented in MHC Class II to T cells during B cell activation. Cell surface immunoglobulins are a key to B cell function, assisting in the response of B cells to specific antigen recognized by that cell's immunoglobulin. CD54 (ICAM-1) is an adhesion molecule involved in the binding of B cells to other cell types and LFA-1 is an integrin adhesion protein with two subunits that binds to ICAM. CD35 and CD21 are receptors for complement factors that stimulate the B cell response when complement is activated. CD80 and CD40 bind to T cell proteins (CD28 and CD40L, respectively) to provide costimulatory signals in the B cell-T cell interaction required for B cell activation. CD45 is a protein tyrosine phosphatase that regulates activation of B cells and T cells through dephosphorylation of signaling factors. CD32 is a receptor for IgG Fc, and is also called FcgammaRII. The number of proteins on the surface of B cell proteins indicates the complexity of regulation of B cell activation."	"C2"	"HLA-DRA, HLA-DRB1, ICAM1"	"CD40, CD80, CR1, CR2, FCGR2B, HLA-DRA, HLA-DRB1, ICAM1, ITGAL, ITGB2, PTPRC"
"REACTOME_INTERFERON_GAMMA_SIGNALING"	"Interferon gamma signaling"	57	5	13.4	7.63	1.8e-06	8.1e-06	15.3	4.68	39.4	""	"C2"	"HLA-B, HLA-C, HLA-DRB1, ICAM1, IFNGR1"	"B2M, CAMK2A, CAMK2B, CAMK2D, CD44, CIITA, FCGR1A, FCGR1B, GBP1, GBP2, GBP5, GBP7, HLA-A, HLA-B, HLA-C, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DRB1, HLA-DRB5, HLA-F, HLA-G, ICAM1, IFNG, IFNGR1, IFNGR2, IRF1, IRF2, IRF3, IRF4, IRF5, IRF6, IRF7, IRF8, IRF9, JAK1, JAK2, MT2A, NCAM1, OAS1, OAS2, OAS3, OASL, PIAS1, PML, PRKCD, PTAFR, PTPN1, PTPN2, PTPN6, SOCS1, SOCS3, SP100, STAT1, SUMO1, VCAM1"
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY"	"Natural killer cell mediated cytotoxicity"	130	7	8.25	6.73	2.1e-06	8.2e-06	9.23	3.54	20.4	"Natural killer (NK) cells are lymphocytes of the innate immune system that are involved in early defenses against both allogeneic (nonself) cells and autologous cells undergoing various forms of stress, such as infection with viruses, bacteria, or parasites or malignant transformation. Although NK cells do not express classical antigen receptors of the immunoglobulin gene family, such as the antibodies produced by B cells or the T cell receptor expressed by T cells, they are equipped with various receptors whose engagement allows them to discriminate between target and nontarget cells. Activating receptors bind ligands on the target cell surface and trigger NK cell activation and target cell lysis. However Inhibitory receptors recognize MHC class I molecules (HLA) and inhibit killing by NK cells by overruling the actions of the activating receptors. This inhibitory signal is lost when the target cells do not express MHC class I and perhaps also in cells infected with virus, which might inhibit MHC class I exprssion or alter its conformation. The mechanism of NK cell killing is the same as that used by the cytotoxic T cells generated in an adaptive immune response; cytotoxic granules are released onto the surface of the bound target cell, and the effector proteins they contain penetrate the cell membrane and induce programmed cell death."	"C2"	"FAS, HLA-B, HLA-C, ICAM1, IFNGR1, MICA, MICB"	"ARAF, BID, BRAF, CASP3, CD244, CD247, CD48, CHP1, CHP2, CSF2, FAS, FASLG, FCER1G, FCGR3A, FCGR3B, FYN, GRB2, GZMB, HCST, HLA-A, HLA-B, HLA-C, HLA-E, HLA-G, HRAS, ICAM1, ICAM2, IFNA1, IFNA10, IFNA13, IFNA14, IFNA16, IFNA17, IFNA2, IFNA21, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNAR1, IFNAR2, IFNB1, IFNG, IFNGR1, IFNGR2, ITGAL, ITGB2, KIR2DL1, KIR2DL3, KIR2DL4, KIR3DL1, KIR3DL2, KLRC1, KLRC2, KLRC3, KLRD1, KLRK1, KRAS, LAT, LCK, LCP2, MAP2K1, MAP2K2, MAPK1, MAPK3, MICA, MICB, NCR2, NCR3, NFAT5, NFATC1, NFATC2, NFATC3, NFATC4, NRAS, PAK1, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R2, PIK3R3, PIK3R5, PLCG1, PLCG2, PPP3CA, PPP3CB, PPP3CC, PPP3R1, PPP3R2, PRF1, PRKCA, PRKCB, PRKCG, PTK2B, PTPN11, PTPN6, RAC1, RAC2, RAC3, RAET1E, RAET1G, RAET1L, RAF1, SH2D1A, SH2D1B, SH3BP2, SHC1, SHC2, SHC3, SHC4, SOS1, SOS2, SYK, TNF, TNFRSF10A, TNFRSF10B, TNFRSF10C, TNFRSF10D, TNFSF10, TYROBP, ULBP1, ULBP2, ULBP3, VAV1, VAV2, VAV3, ZAP70"
"KEGG_VIRAL_MYOCARDITIS"	"Viral myocarditis"	68	5	11.3	6.88	5.3e-06	1.8e-05	12.7	3.88	32.1	"Myocarditis is a cardiac disease associated with inflammation and injury of the myocardium. It results from various etiologies, both noninfectious and infectious, but coxsackievirus B3 (CVB3) is still considered the dominant etiological agent. Myocarditis may be caused by direct cytopathic effects of virus, a pathologic immune response to persistent virus, or autoimmunity triggered by the viral infection. The virus enters the myocyte through internalization of the coxsackie-adenoviral receptor (CAR) and its coreceptor, decay-accelerating factor (DAF). Viral proteases cleave various proteins in the host cell. One example is viral protease 2A, which cleaves eukaryote initiation factor 4G (eIF4G) and the dystrophin protein, resulting in a complete shutdown of cap-dependent RNA translation and cytoskeletal destruction in infected cardiomyocytes, respectively. CVB3 also cleaves the member of the Bcl-2 family Bid, leading to apoptosis. CVB3 infection also induces the cleavage of cyclin D protein through a proteasome-dependent pathway, leading to the host cell-growth arrest. Viral infection and necrosis of myocytes may lead to the release of intracellular antigens, resulting in activation of self-reactive T cells. CVB infection is a significant cause of dilated cardiomyopathy (DCM) as well as myocarditis. Epidemiologically, myocarditis underlies a significant portion of patients with DCM."	"C2"	"HLA-B, HLA-C, HLA-DRA, HLA-DRB1, ICAM1"	"ABL1, ABL2, ACTB, ACTG1, BID, CASP3, CASP8, CASP9, CAV1, CCND1, CD28, CD40, CD40LG, CD55, CD80, CD86, CXADR, CYCS, DAG1, DMD, EIF4G1, EIF4G2, EIF4G3, FYN, HLA-A, HLA-B, HLA-C, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB5, HLA-E, HLA-F, HLA-G, ICAM1, ITGAL, ITGB2, LAMA2, MYH1, MYH10, MYH11, MYH13, MYH14, MYH15, MYH2, MYH3, MYH4, MYH6, MYH7, MYH7B, MYH8, MYH9, PRF1, RAC1, RAC2, RAC3, SGCA, SGCB, SGCD, SGCG"
"KEGG_LEISHMANIA_INFECTION"	"Leishmania infection"	69	5	11.1	6.82	5.7e-06	1.8e-05	12.5	3.83	31.6	"Leishmania is an intracellular protozoan parasite of macrophages that causes visceral, mucosal, and cutaneous diseases. The parasite is transmitted to humans by sandflies, where they survive and proliferate intracellularly by deactivating the macrophage. Successful infection of Leishmania is achieved by alteration of signaling events in the host cell, leading to enhanced production of the autoinhibitory molecules like TGF-beta and decreased induction of cytokines such as IL12 for protective immunity. Nitric oxide production is also inhibited. In addition, defective expression of major histocompatibility complex (MHC) genes silences subsequent T cell activation mediated by macrophages, resulting in abnormal immune responses."	"C2"	"HLA-DRA, HLA-DRB1, IFNGR1, IL12B, ITGAM"	"C3, CR1, CYBA, ELK1, FCGR1A, FCGR2A, FCGR3A, FCGR3B, FOS, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB5, IFNG, IFNGR1, IFNGR2, IL10, IL12A, IL12B, IL1A, IL1B, IL4, IRAK1, IRAK4, ITGA4, ITGAM, ITGB1, ITGB2, JAK1, JAK2, JUN, MAP3K7, MAPK1, MAPK11, MAPK12, MAPK13, MAPK14, MAPK3, MARCKSL1, MYD88, NCF1, NCF2, NCF4, NFKB1, NFKBIA, NFKBIB, NOS2, PRKCB, PTGS2, PTPN6, RELA, STAT1, TAB1, TAB2, TGFB1, TGFB2, TGFB3, TLR2, TLR4, TNF, TRAF6"
"REACTOME_INTERFERON_SIGNALING"	"Interferon Signaling"	151	7	7.1	6.11	6.4e-06	1.9e-05	7.88	3.03	17.3	""	"C2"	"HLA-B, HLA-C, HLA-DRB1, ICAM1, IFNGR1, STAT2, TYK2"	"AAAS, ADAR, ARIH1, B2M, CAMK2A, CAMK2B, CAMK2D, CD44, CIITA, DDX58, EGR1, EIF2AK2, EIF4A1, EIF4A2, EIF4A3, EIF4E, EIF4E2, EIF4E3, EIF4G1, EIF4G2, EIF4G3, FCGR1A, FCGR1B, FLNB, GBP1, GBP2, GBP5, GBP7, HERC5, HLA-A, HLA-B, HLA-C, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DRB1, HLA-DRB5, HLA-F, HLA-G, ICAM1, IFI27, IFI35, IFI6, IFIT1, IFIT2, IFIT3, IFITM1, IFITM2, IFITM3, IFNA1, IFNA10, IFNA14, IFNA16, IFNA17, IFNA2, IFNA21, IFNA4, IFNA5, IFNA6, IFNA7, IFNA8, IFNAR1, IFNAR2, IFNB1, IFNG, IFNGR1, IFNGR2, IP6K2, IRF1, IRF2, IRF3, IRF4, IRF5, IRF6, IRF7, IRF8, IRF9, ISG15, ISG20, JAK1, JAK2, KPNA1, KPNA2, KPNA3, KPNA4, KPNA5, KPNB1, MAPK3, MT2A, MX1, MX2, NCAM1, NEDD4, NUP107, NUP133, NUP153, NUP155, NUP188, NUP205, NUP210, NUP214, NUP35, NUP37, NUP43, NUP50, NUP54, NUP58, NUP62, NUP85, NUP88, NUP93, NUPL2, OAS1, OAS2, OAS3, OASL, PIAS1, PIN1, PLCG1, PML, POM121, PPM1B, PRKCD, PSMB8, PTAFR, PTPN1, PTPN2, PTPN6, RAE1, RANBP2, RNASEL, RPS27A, SEH1L, SOCS1, SOCS3, SP100, STAT1, STAT2, SUMO1, TPR, TRIM25, TYK2, UBA52, UBA7, UBE2E1, UBE2L6, UBE2N, USP18, VCAM1, XAF1"
"REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC"	"Antigen Presentation: Folding, assembly and peptide loading of class I MHC"	20	3	23	7.97	7.6e-06	2.1e-05	27.6	5.1	97.7	""	"C2"	"ERAP1, HLA-B, HLA-C"	"B2M, CALR, CANX, ERAP1, HLA-A, HLA-B, HLA-C, HLA-F, HLA-G, HSPA5, PDIA3, SAR1B, SEC13, SEC23A, SEC24B, SEC24C, SEC24D, SEC31A, TAP1, TAP2"
"KEGG_CELL_ADHESION_MOLECULES_CAMS"	"Cell adhesion molecules (CAMs)"	127	6	7.24	5.72	1.9e-05	4.8e-05	7.96	2.8	18.5	"Cell adhesion molecules are (glyco)proteins expressed on the cell surface and play a critical role in a wide array of biologic processes that include hemostasis, the immune response, inflammation, embryogenesis, and development of neuronal tissue. There are four main groups: the integrin family, the immunoglobulin superfamily, selectins, and cadherins. Membrane proteins that mediate immune cellcell interactions fall into different categories, namely those involved in antigen recognition, costimulation and cellular adhesion. Furthermore cell-cell adhesions are important for brain morphology and highly coordinated brain functions such as memory and learning. During early development of the nervous system, neurons elongate their axons towards their targets and establish and maintain synapses through formation of cell-cell adhesions. Cell-cell adhesions also underpin axon-axon contacts and link neurons with supporting schwann cells and oligodendrocytes."	"C2"	"HLA-B, HLA-C, HLA-DRA, HLA-DRB1, ICAM1, ITGAM"	"ALCAM, CADM1, CADM3, CD2, CD22, CD226, CD274, CD276, CD28, CD34, CD4, CD40, CD40LG, CD58, CD6, CD80, CD86, CD8A, CD8B, CD99, CDH1, CDH15, CDH2, CDH3, CDH4, CDH5, CLDN1, CLDN10, CLDN11, CLDN14, CLDN15, CLDN16, CLDN17, CLDN18, CLDN19, CLDN2, CLDN20, CLDN22, CLDN23, CLDN5, CLDN6, CLDN7, CLDN8, CLDN9, CNTN1, CNTN2, CNTNAP1, CNTNAP2, ESAM, F11R, GLG1, HLA-A, HLA-B, HLA-C, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB5, HLA-E, HLA-F, HLA-G, ICAM1, ICAM2, ICAM3, ICOS, ICOSLG, ITGA4, ITGA6, ITGA8, ITGA9, ITGAL, ITGAM, ITGAV, ITGB1, ITGB2, ITGB7, ITGB8, JAM2, JAM3, L1CAM, MADCAM1, MAG, MPZ, MPZL1, NCAM1, NCAM2, NECTIN1, NECTIN2, NECTIN3, NEGR1, NEO1, NFASC, NLGN1, NLGN2, NLGN3, NLGN4X, NRCAM, NRXN1, NRXN2, NRXN3, OCLN, PDCD1, PDCD1LG2, PTPRC, PTPRF, PTPRM, PVR, SDC1, SDC2, SDC3, SDC4, SELE, SELL, SELP, SELPLG, SIGLEC1, SPN, VCAM1, VCAN"
