Study,Protein,beta,se,P
HOMAGE_Discovery,CD40,0.476234178996372,0.0898636852183618,1.16109061154188e-07
HOMAGE_Discovery,CD40-L,0.139761942375159,0.0816161169054426,0.0868173296238435
HOMAGE_Discovery,OPG,0.405465108108164,0.0849241154177254,1.80207845808975e-06
HOMAGE_Replication,CD40,0.139761942375159,0.0921363547084727,0.129291095211579
HOMAGE_Replication,CD40-L,0.104360015324243,0.0848155478129059,0.218534267950117
HOMAGE_Replication,OPG,0.182321556793955,0.0879461190615893,0.0381624901325502
PIVUS,OPG,0.405465108108164,0.11131497382876,0.00027
PIVUS,CD40,0.385262400790645,0.104589718466488,0.00023
PIVUS,CD40-L,0.0676586484738149,0.116084128583401,0.56
ULSAM,OPG,0.27002713721306,0.107488703658803,0.012
ULSAM,CD40,0.198850858745165,0.107763167081905,0.065
ULSAM,CD40-L,-0.127833371509885,0.0888020679579503,0.15
