r2_thresh,P_thresh,Protein,N_ins,beta,SE,LCI,UCI,P_value,Method
0.05,1,CD40,46,-0.0375310017353934,0.0111099558522718,-0.0593061150756761,-0.0157558883951106,0.00072977546970797,IVW
0.05,1,CD40,46,-0.0240223256440041,0.0203665694159271,-0.0639400681878563,0.0158954168998481,0.238199976564682,PCA_0.90
0.05,1,CD40,46,-0.0271247678896665,0.01314569457289,-0.0528898558042946,-0.00135967997503845,0.0390750609162715,PCA_0.99
0.05,1,CD40,46,-0.0479735302883471,0.0150536471740449,-0.0774781365854483,-0.018468923991246,0.0014383746523845,MR_Egger
0.05,1,CD40,46,0.003025403363652,0.00313318575055594,-0.00311552786431173,0.00916633459161574,0.334244502679604,EggerInt
0.05,0.01,CD40,29,-0.0321884557432235,0.0127734066721549,-0.0572238727805308,-0.00715303870591627,0.0117368644437173,IVW
0.05,0.01,CD40,29,-0.0247180230465119,0.0193505375201448,-0.0626443796674867,0.0132083335744629,0.201467512578112,PCA_0.90
0.05,0.01,CD40,29,-0.0268785370999677,0.0138261062633434,-0.0539772074225444,0.000220133222608988,0.0518903357052041,PCA_0.99
0.05,0.01,CD40,29,-0.0498994518408972,0.0185372710116665,-0.0862318353954218,-0.0135670682863725,0.00710580584582754,MR_Egger
0.05,0.01,CD40,29,0.00500909236209969,0.00409968797786154,-0.00302614842236076,0.0130443331465601,0.221774633623939,EggerInt
0.05,0.001,CD40,25,-0.0332887559493681,0.0131300458585994,-0.0590231729475822,-0.00755433895115406,0.0112347382086311,IVW
0.05,0.001,CD40,25,-0.0247349199157616,0.0193526897579429,-0.0626654948453069,0.0131956550137837,0.201209666880244,PCA_0.90
0.05,0.001,CD40,25,-0.0271678132447302,0.0138647481602205,-0.0543422202934804,6.59380401994009e-06,0.0500556165869313,PCA_0.99
0.05,0.001,CD40,25,-0.0577039732871367,0.0199336673485065,-0.0967732433700114,-0.0186347032042619,0.00379400600054258,MR_Egger
0.05,0.001,CD40,25,0.00704096302135142,0.00465737519002218,-0.00208732461358243,0.0161692506562853,0.130587852435413,EggerInt
0.05,1e-04,CD40,20,-0.0314560657414534,0.0152662680179397,-0.0613774012349509,-0.00153473024795591,0.039351263242057,IVW
0.05,1e-04,CD40,20,-0.0243138613424558,0.0194269649535491,-0.0623900129803337,0.0137622902954222,0.210733069909463,PCA_0.90
0.05,1e-04,CD40,20,-0.030695416623134,0.0141266533346632,-0.0583831483811565,-0.00300768486511147,0.0297899143492776,PCA_0.99
0.05,1e-04,CD40,20,-0.0595403143334347,0.0209252325731258,-0.100553016544886,-0.0185276121219837,0.00443579633392255,MR_Egger
0.05,1e-04,CD40,20,0.0087268818592222,0.00511996026574111,-0.00130805586390649,0.0187618195823509,0.0882910124013714,EggerInt
0.05,1e-05,CD40,18,-0.0350838394778831,0.0152872898128461,-0.0650463769322876,-0.00512130202347868,0.021734963674134,IVW
0.05,1e-05,CD40,18,-0.0232802597404365,0.0194062638997793,-0.0613158380584838,0.0147553185776107,0.230284604118624,PCA_0.90
0.05,1e-05,CD40,18,-0.031918647815284,0.0140822711509987,-0.0595193920917689,-0.00431790353879905,0.0234156619598069,PCA_0.99
0.05,1e-05,CD40,18,-0.0583014828367115,0.021122552098274,-0.0997009242108994,-0.0169020414625234,0.00577742360095535,MR_Egger
0.05,1e-05,CD40,18,0.00739298075678577,0.00527738062161594,-0.00295049519429107,0.0177364567078626,0.161249745543181,EggerInt
0.05,5e-08,CD40,13,-0.0277013227467063,0.0154153387914405,-0.0579148315874129,0.00251218609400031,0.0723360426322923,IVW
0.05,5e-08,CD40,13,-0.0239308800010803,0.0193507211382645,-0.0618575965069566,0.0139958365047961,0.216201488700517,PCA_0.90
0.05,5e-08,CD40,13,-0.0304989161884814,0.0137727657519635,-0.0574930410298365,-0.0035047913471263,0.0267987613814849,PCA_0.99
0.05,5e-08,CD40,13,-0.0576277038874301,0.0214991406132268,-0.0997652451879168,-0.0154901625869433,0.0073519850778041,MR_Egger
0.05,5e-08,CD40,13,0.0101689145258078,0.00568770019617206,-0.000978773013550861,0.0213166020651664,0.0737956795594941,EggerInt
0.1,1,CD40,69,-0.00244085967439969,0.00830821074960253,-0.0187246535195892,0.0138429341707898,0.768919256387981,IVW
0.1,1,CD40,69,-0.0101598151391143,0.0174864236056674,-0.0444325756246335,0.0241129453464048,0.561232628536324,PCA_0.90
0.1,1,CD40,69,-0.0159207326466398,0.00983600315730088,-0.0351989445867718,0.00335747929349215,0.105529460335598,PCA_0.99
0.1,1,CD40,69,0.000497064358083629,0.00911292911326014,-0.0173639484975728,0.01835807721374,0.956500988621475,MR_Egger
0.1,1,CD40,69,-0.000980289647139428,0.00172923013980236,-0.00436951844213321,0.00240893914785435,0.57078641449782,EggerInt
0.1,0.01,CD40,46,-0.00283096377537126,0.0104636959709845,-0.0233394310236778,0.0176775034729353,0.786736359943881,IVW
0.1,0.01,CD40,46,-0.0170925955851793,0.0174595380380717,-0.0513126613265068,0.0171274701561483,0.327588247498113,PCA_0.90
0.1,0.01,CD40,46,-0.0153774934691145,0.0107685790556444,-0.03648352058285,0.00572853364462093,0.153292858775887,PCA_0.99
0.1,0.01,CD40,46,0.00792521032224149,0.0113229041507254,-0.0142672740135793,0.0301176946580623,0.483972674677643,MR_Egger
0.1,0.01,CD40,46,-0.00351028348903449,0.00215973150205598,-0.00774327944934081,0.000722712471271833,0.104091563626362,EggerInt
0.1,0.001,CD40,37,-0.00456665302773828,0.0113256258648543,-0.026764471825228,0.0176311657697515,0.686790663689755,IVW
0.1,0.001,CD40,37,-0.0176896692348096,0.017626321797326,-0.0522366251374819,0.0168572866678628,0.31557439054494,PCA_0.90
0.1,0.001,CD40,37,-0.0145372416940008,0.010667375823391,-0.0354449141174004,0.00637043072939885,0.172953178069396,PCA_0.99
0.1,0.001,CD40,37,0.00696697538294188,0.0120949701934699,-0.0167387305903446,0.0306726813562284,0.564599950299862,MR_Egger
0.1,0.001,CD40,37,-0.00396769202969717,0.00248960168634719,-0.00884722167078784,0.000911837611393503,0.111002000141367,EggerInt
0.1,1e-04,CD40,32,-0.00130169131266993,0.0116660602929627,-0.0241667493283497,0.0215633667030098,0.911156953678922,IVW
0.1,1e-04,CD40,32,-0.0180613219999956,0.0177432035705808,-0.0528373619686965,0.0167147179687053,0.308711684462355,PCA_0.90
0.1,1e-04,CD40,32,-0.0126665543920472,0.0107200417830142,-0.0336774501995196,0.00834434141542517,0.237373599580715,PCA_0.99
0.1,1e-04,CD40,32,0.00360474166484779,0.0125503114287803,-0.0209934167303231,0.0282029000600186,0.773941358974722,MR_Egger
0.1,1e-04,CD40,32,-0.00181504175850133,0.00275862727573283,-0.00722185186570751,0.00359176834870486,0.510569574970593,EggerInt
0.1,1e-05,CD40,29,-0.000821633686894816,0.0116364033053497,-0.0236285650749631,0.0219852977011734,0.943709023530493,IVW
0.1,1e-05,CD40,29,-0.0172768886656433,0.0179047638902156,-0.052369581042159,0.0178158037108725,0.334578619446384,PCA_0.90
0.1,1e-05,CD40,29,-0.0102208725254773,0.0107601818365925,-0.0313104413923006,0.010868696341346,0.342173655193608,PCA_0.99
0.1,1e-05,CD40,29,0.00247831474218974,0.0125776304936242,-0.0221733880361663,0.0271300175205458,0.843795089209337,MR_Egger
0.1,1e-05,CD40,29,-0.00122606066447165,0.00277566731735461,-0.00666626863955159,0.0042141473106083,0.658693687217295,EggerInt
0.1,5e-08,CD40,20,-0.00628644214449918,0.0109142715331667,-0.0276780212669967,0.0151051369779983,0.564626221200015,IVW
0.1,5e-08,CD40,20,-0.0232529308277551,0.0185370378079023,-0.059584857311301,0.0130789956557907,0.209695268909084,PCA_0.90
0.1,5e-08,CD40,20,-0.0144752426950734,0.0108099484109898,-0.0356623522553495,0.00671186686520267,0.180548937404766,PCA_0.99
0.1,5e-08,CD40,20,0.00481587084951029,0.0120974126857505,-0.0188946223206786,0.0285263640196992,0.690563124373148,MR_Egger
0.1,5e-08,CD40,20,-0.0050098350181253,0.00321155852052455,-0.0113043740525962,0.00128470401634556,0.118774324207002,EggerInt
0.2,1,CD40,100,-0.0195408138544453,0.00963517940412799,-0.0384254184711183,-0.000656209237772376,0.0425531512535946,IVW
0.2,1,CD40,100,-0.0194295017661369,0.0140536646682978,-0.0469741783668036,0.00811517483452985,0.166811454405437,PCA_0.90
0.2,1,CD40,100,-0.0440021308401764,0.0101258277777038,-0.0638483885981311,-0.0241558730822217,1.38937126182439e-05,PCA_0.99
0.2,1,CD40,100,-0.0205581707971099,0.00958136866892647,-0.0393373083108063,-0.00177903328341356,0.0319016871568545,MR_Egger
0.2,1,CD40,100,0.000247244186671267,0.00165115933222709,-0.00298896863723103,0.00348345701057356,0.880969945253339,EggerInt
0.2,0.01,CD40,57,-0.0190427095354949,0.011754893796556,-0.0420818780188379,0.00399645894784813,0.105236268342779,IVW
0.2,0.01,CD40,57,-0.020513545785423,0.0132480317046431,-0.0464792107925683,0.0054521192217223,0.121520690821247,PCA_0.90
0.2,0.01,CD40,57,-0.0436265460978718,0.010058409055175,-0.0633406655877865,-0.0239124266079572,1.44230086615549e-05,PCA_0.99
0.2,0.01,CD40,57,-0.0206075640778044,0.0122362121105086,-0.044590099121594,0.00337497096598525,0.0921535131564524,MR_Egger
0.2,0.01,CD40,57,0.00040888179664704,0.00239310095166761,-0.00428150987999001,0.00509927347328409,0.864334977134441,EggerInt
0.2,0.001,CD40,48,-0.0239219865929481,0.0106692556952786,-0.044833343497543,-0.00301062968835317,0.0249521945217918,IVW
0.2,0.001,CD40,48,-0.0197513913387573,0.0131067746494788,-0.0454401976052183,0.00593741492770367,0.131820788930674,PCA_0.90
0.2,0.001,CD40,48,-0.04179231799409,0.0100628621060509,-0.0615151653033426,-0.0220694706848374,3.27966349790571e-05,PCA_0.99
0.2,0.001,CD40,48,-0.0456868331430504,0.0122731680763938,-0.0697418005489891,-0.0216318657371118,0.000197262138879051,MR_Egger
0.2,0.001,CD40,48,0.0055887157226303,0.00242653870570268,0.000832787252360599,0.0103446441929,0.0212696376392727,EggerInt
0.2,1e-04,CD40,41,-0.017462861551865,0.011869319900202,-0.0407263010772456,0.00580057797351549,0.1412206807564,IVW
0.2,1e-04,CD40,41,-0.0210277147289043,0.0130675216338263,-0.0466395864984018,0.00458415704059321,0.107581667872456,PCA_0.90
0.2,1e-04,CD40,41,-0.0432232437864664,0.0100490111319353,-0.0629189436853018,-0.0235275438876311,1.69842298987775e-05,PCA_0.99
0.2,1e-04,CD40,41,-0.0352463736707812,0.0145586899936833,-0.0637808817204842,-0.00671186562107835,0.0154785055066038,MR_Egger
0.2,1e-04,CD40,41,0.0043905118506303,0.00288685601328726,-0.00126762196396562,0.0100486456652262,0.128294276891518,EggerInt
0.2,1e-05,CD40,37,-0.0272021940242645,0.0104331741685432,-0.0476508396390428,-0.0067535484094862,0.00912650114240001,IVW
0.2,1e-05,CD40,37,-0.0214479194757075,0.0127894700762026,-0.0465148202064174,0.00361898125500243,0.0935428158054035,PCA_0.90
0.2,1e-05,CD40,37,-0.0398685033098498,0.0100668256669691,-0.0595991190557526,-0.0201378875639469,7.48290868132817e-05,PCA_0.99
0.2,1e-05,CD40,37,-0.0484100621043382,0.0141777401799469,-0.0761979222392006,-0.0206222019694757,0.000638964098170547,MR_Egger
0.2,1e-05,CD40,37,0.00558462817732691,0.00301007983643695,-0.000315019892679722,0.0114842762473335,0.0635521153492809,EggerInt
0.2,5e-08,CD40,29,-0.0266183381692171,0.00977093421328617,-0.0457690173225682,-0.007467659015866,0.0064450285559219,IVW
0.2,5e-08,CD40,29,-0.0218400730525888,0.0127989854873635,-0.046925623646472,0.00324547754129442,0.0879353137692463,PCA_0.90
0.2,5e-08,CD40,29,-0.0378639235481182,0.00989676131239817,-0.057261219284008,-0.0184666278122284,0.000130300285339705,PCA_0.99
0.2,5e-08,CD40,29,-0.0491199102914583,0.0139941482364885,-0.0765479368292903,-0.0216918837536262,0.000448052507880492,MR_Egger
0.2,5e-08,CD40,29,0.00601116616167943,0.00303471338703555,6.32372196881928e-05,0.0119590951036707,0.047613489278153,EggerInt
0.4,1,CD40,166,-0.0467361960702066,0.00492901754657791,-0.0563968929406653,-0.0370754991997479,2.49818535424906e-21,IVW
0.4,1,CD40,166,-0.00344090001054064,0.0116801922322687,-0.0263336561182919,0.0194518560972106,0.768304997239309,PCA_0.90
0.4,1,CD40,166,-0.0331500709581403,0.00845910926481504,-0.0497296204584669,-0.0165705214578138,8.89685074813537e-05,PCA_0.99
0.4,1,CD40,166,-0.0444756440434734,0.00475408188941123,-0.0537934733262736,-0.0351578147606733,0,MR_Egger
0.4,1,CD40,166,-0.000518432586139925,0.000859223148581888,-0.00220247901204353,0.00116561383976368,0.546260163819488,EggerInt
0.4,0.01,CD40,97,-0.0487046853080738,0.00596220028514559,-0.0603903831355736,-0.037018987480574,3.11184829906345e-16,IVW
0.4,0.01,CD40,97,-0.00486347007712642,0.0111522465234344,-0.0267214716097699,0.016994531455517,0.662765779588767,PCA_0.90
