r2_thresh,P_thresh,Protein,N_ins,beta,SE,LCI,UCI,P_value,Method
0.05,1,CCL3,39,0.0187370655826026,0.019147432639792,-0.0187912127877964,0.0562653439530016,0.327793458452278,IVW
0.05,1,CCL3,39,0.0263023936317856,0.0258927137905299,-0.0244463928596565,0.0770511801232277,0.309714059717393,PCA_0.90
0.05,1,CCL3,39,0.0296968501028759,0.0178653512143707,-0.00531859484844947,0.0647122950542013,0.0964607508546622,PCA_0.99
0.05,1,CCL3,39,0.00786815995547339,0.0258650444950021,-0.0428263957132566,0.0585627156242034,0.760975129574236,MR_Egger
0.05,1,CCL3,39,0.00249202688652505,0.00444650533706781,-0.00622296343119299,0.0112070172042431,0.575175146851282,EggerInt
0.05,0.01,CCL3,19,0.0162905886000006,0.0213246714391272,-0.0255049994028387,0.0580861766028399,0.444908054499849,IVW
0.05,0.01,CCL3,19,0.0261033703073362,0.0258061434508393,-0.0244757414361829,0.0766824820508554,0.311768724354099,PCA_0.90
0.05,0.01,CCL3,19,0.0320791171769115,0.0177084593631981,-0.00262882539664778,0.0667870597504708,0.0700613665220646,PCA_0.99
0.05,0.01,CCL3,19,-0.00420668178553061,0.0318381441061161,-0.0666082975681144,0.0581949339970532,0.894883757757205,MR_Egger
0.05,0.01,CCL3,19,0.00510845471855537,0.00645941447379851,-0.00755176501130646,0.0177686744484172,0.429029108817659,EggerInt
0.05,0.001,CCL3,18,0.0222205035507722,0.0188845069902791,-0.0147924500159697,0.0592334571175141,0.23933420884342,IVW
0.05,0.001,CCL3,18,0.0247532262687801,0.0257200889180944,-0.0256572216898528,0.075163674227413,0.335844561305498,PCA_0.90
0.05,0.001,CCL3,18,0.0307004201279026,0.0175138669985811,-0.00362612841934094,0.0650269686751462,0.0796156186331792,PCA_0.99
0.05,0.001,CCL3,18,0.00751505971913179,0.030258446821299,-0.0517904062787347,0.0668205257169983,0.803854042024863,MR_Egger
0.05,0.001,CCL3,18,0.00363512397395405,0.00609815076578029,-0.00831703189927066,0.0155872798471788,0.551106638374541,EggerInt
0.05,1e-04,CCL3,17,0.0238093247714793,0.0188706532780465,-0.0131764760182345,0.060795125561193,0.207052531109739,IVW
0.05,1e-04,CCL3,17,0.0240587236293168,0.0256042739301593,-0.0261247311240933,0.0742421783827268,0.347403780856113,PCA_0.90
0.05,1e-04,CCL3,17,0.0336108786811309,0.01760552820457,-0.000895322528630393,0.0681170798908922,0.0562479855577599,PCA_0.99
0.05,1e-04,CCL3,17,0.00816842618366558,0.0302049033098178,-0.0510320964600921,0.0673689488274232,0.786826555038086,MR_Egger
0.05,1e-04,CCL3,17,0.00387370613578647,0.00608975333980268,-0.00806199108495928,0.0158094033565322,0.524709743315158,EggerInt
0.05,1e-05,CCL3,14,0.0306749781113702,0.0198850781057198,-0.00829905880560654,0.0696490150283469,0.12292472489329,IVW
0.05,1e-05,CCL3,14,0.0223286680660655,0.0253201289966232,-0.0272978728512243,0.0719552089833554,0.377855529794215,PCA_0.90
0.05,1e-05,CCL3,14,0.0327339486587022,0.0175727151621254,-0.00170794016964451,0.0671758374870489,0.0624944560235404,PCA_0.99
0.05,1e-05,CCL3,14,-0.000668754109474394,0.0303990838965743,-0.0602498637097715,0.0589123554908228,0.982448630874428,MR_Egger
0.05,1e-05,CCL3,14,0.00827205355258598,0.00646535009695357,-0.00439979978488557,0.0209439068900575,0.200740738959006,EggerInt
0.05,5e-08,CCL3,13,0.0316092250929515,0.0196560905205548,-0.00691600440419499,0.070134454590098,0.107810316706084,IVW
0.05,5e-08,CCL3,13,0.0229886163815801,0.0253782323453051,-0.0267518050065073,0.0727290377696675,0.365020579279738,PCA_0.90
0.05,5e-08,CCL3,13,0.0321136642277111,0.0175486187632405,-0.00228099652666407,0.0665083249820862,0.0672525642914535,PCA_0.99
0.05,5e-08,CCL3,13,-0.0012812293612753,0.0300703284099188,-0.0602179900480077,0.0576555313254571,0.966014208854331,MR_Egger
0.05,5e-08,CCL3,13,0.00869323786536123,0.00640244943934631,-0.00385533244859619,0.0212418081793187,0.174527550718396,EggerInt
0.1,1,CCL3,55,0.0259433589324389,0.0152436649470755,-0.00393367535622484,0.0558203932211026,0.0887720795022258,IVW
0.1,1,CCL3,55,0.0278755846081996,0.0273040764590594,-0.0256394218826848,0.081390591099084,0.307287017469837,PCA_0.90
0.1,1,CCL3,55,0.0359903083622619,0.0179074053288769,0.000892438861102539,0.0710881778634213,0.0444523304594627,PCA_0.99
0.1,1,CCL3,55,0.0382059525556121,0.0219807766954785,-0.00487557811974316,0.0812874832309674,0.082183861366159,MR_Egger
0.1,1,CCL3,55,-0.0021687485294527,0.00300284083655941,-0.00805420842041526,0.00371671136150987,0.470151691335333,EggerInt
0.1,0.01,CCL3,28,0.0212063874715236,0.0149033453939703,-0.00800363274981911,0.0504164076928663,0.154757028028365,IVW
0.1,0.01,CCL3,28,0.0277163528444039,0.0271997814516345,-0.0255942391881604,0.0810269448769682,0.308206884200101,PCA_0.90
0.1,0.01,CCL3,28,0.0360152845422406,0.0174469754267882,0.00181984106658052,0.0702107280179007,0.0389920337291371,PCA_0.99
0.1,0.01,CCL3,28,0.0433051298804975,0.0270876312727406,-0.00978565184057498,0.09639591160157,0.109886179846502,MR_Egger
0.1,0.01,CCL3,28,-0.004170703727759,0.00434220219836909,-0.0126812636501531,0.00433985619463506,0.336801485875026,EggerInt
0.1,0.001,CCL3,25,0.0257020117066362,0.0138538508083232,-0.00145103692486848,0.0528550603381409,0.0635640892624552,IVW
0.1,0.001,CCL3,25,0.0260867916957148,0.0270728340782393,-0.0269749880570627,0.0791485714484924,0.33525745988198,PCA_0.90
0.1,0.001,CCL3,25,0.0362177058773678,0.0173118833868836,0.00228703793451862,0.070148373820217,0.0364320786694314,PCA_0.99
0.1,0.001,CCL3,25,0.048103068927174,0.0264797107293578,-0.0037962104234061,0.100002348277754,0.0692782305903514,MR_Egger
0.1,0.001,CCL3,25,-0.00431938747983256,0.00434882375715029,-0.0128429254189593,0.00420415045929417,0.320597292361698,EggerInt
0.1,1e-04,CCL3,23,0.0286814406007923,0.0140370340223284,0.00116935946726521,0.0561935217343194,0.0410257874601314,IVW
0.1,1e-04,CCL3,23,0.0254958682385447,0.0269866331711684,-0.0273969608409394,0.0783886973180287,0.344781858563491,PCA_0.90
0.1,1e-04,CCL3,23,0.0351850457749522,0.0173486761301327,0.00118226538044246,0.069187826169462,0.0425488917921597,PCA_0.99
0.1,1e-04,CCL3,23,0.0447129055333621,0.0266356185104107,-0.00749194745299132,0.0969177585197156,0.0932127753233627,MR_Egger
0.1,1e-04,CCL3,23,-0.00315345826368782,0.00444828863787204,-0.0118719437867558,0.00556502725938012,0.478377264600061,EggerInt
0.1,1e-05,CCL3,19,0.0309928383356744,0.0150753612472046,0.00144567323722255,0.0605400034341263,0.039795973245952,IVW
0.1,1e-05,CCL3,19,0.0243237447595582,0.0266070132041181,-0.0278250428566949,0.0764725323758113,0.360619399894772,PCA_0.90
0.1,1e-05,CCL3,19,0.033680143445494,0.017349143265235,-0.000323552516992218,0.0676838394079802,0.0522201413843027,PCA_0.99
0.1,1e-05,CCL3,19,0.0432977187713424,0.027358818762859,-0.01032458066342,0.0969200182061047,0.113515562913187,MR_Egger
0.1,1e-05,CCL3,19,-0.0025093810382271,0.00466934506249514,-0.0116611291921075,0.0066423671156533,0.590980250530686,EggerInt
0.1,5e-08,CCL3,15,0.0359704728575876,0.0147791755343246,0.00700382108911585,0.0649371246260594,0.0149386917324496,IVW
0.1,5e-08,CCL3,15,0.0261866455969801,0.0267805854241628,-0.0263023373192773,0.0786756285132374,0.328162368199556,PCA_0.90
0.1,5e-08,CCL3,15,0.0350047822250245,0.0174471960723514,0.000808906292007049,0.069200658158042,0.0448213609527651,PCA_0.99
0.1,5e-08,CCL3,15,0.0327071926180606,0.027453395026604,-0.0211004728874344,0.0865148581235555,0.233507773207913,MR_Egger
0.1,5e-08,CCL3,15,0.000684081764347999,0.0048171495152042,-0.00875735779359681,0.0101255213222928,0.887072375521999,EggerInt
0.2,1,CCL3,71,0.0247832770667045,0.0155613706834619,-0.00571644902295822,0.0552830031563673,0.111246518684644,IVW
0.2,1,CCL3,71,0.0394893334563183,0.0222928710470565,-0.0042038909079081,0.0831825578205446,0.0764961341466268,PCA_0.90
0.2,1,CCL3,71,0.0325602488673229,0.0169997244192305,-0.000758598741474922,0.0658790964761208,0.0554491822868229,PCA_0.99
0.2,1,CCL3,71,0.0127561214993754,0.0206700329738534,-0.0277563986886327,0.0532686416873834,0.537148214983012,MR_Egger
0.2,1,CCL3,71,0.00193663250368531,0.00256815728720288,-0.00309686328586641,0.00697012829323704,0.450792662499196,EggerInt
0.2,0.01,CCL3,41,0.0167551793142166,0.0175455643470232,-0.0176334948943788,0.051143853522812,0.339601753691218,IVW
0.2,0.01,CCL3,41,0.0381330955686719,0.0219217759354883,-0.00483279574204199,0.0810989868793858,0.0819455187916412,PCA_0.90
0.2,0.01,CCL3,41,0.0320693363233071,0.0165614610832531,-0.000390530931230752,0.0645292035778449,0.0528207758195475,PCA_0.99
0.2,0.01,CCL3,41,0.0172253782594227,0.0270514279638814,-0.0357944462801645,0.07024520279901,0.524278511683971,MR_Egger
0.2,0.01,CCL3,41,-8.50982301192146e-05,0.00408837880253851,-0.00809817343825169,0.00792797697801326,0.983393500280476,EggerInt
0.2,0.001,CCL3,36,0.021105187957148,0.0175851628884631,-0.01336109796651,0.0555714738808061,0.23007325738313,IVW
0.2,0.001,CCL3,36,0.0377044727377968,0.0218921908249264,-0.00520343282173714,0.0806123782973307,0.0850188889260094,PCA_0.90
0.2,0.001,CCL3,36,0.0273096858020212,0.0163453339515548,-0.0047265800583059,0.0593459516623483,0.0947623751952992,PCA_0.99
0.2,0.001,CCL3,36,0.0130029879812951,0.0278590450931483,-0.041599737044953,0.0676057130075431,0.640684436737593,MR_Egger
0.2,0.001,CCL3,36,0.00149001053035608,0.0043208494105455,-0.00697869869693423,0.00995871975764639,0.730213125164139,EggerInt
0.2,1e-04,CCL3,34,0.0274440591248482,0.0176397079222387,-0.00712913310054554,0.0620172513502418,0.119752940476727,IVW
0.2,1e-04,CCL3,34,0.0373751957133474,0.0218599845869644,-0.00546958677970363,0.0802199782063983,0.0873113756768423,PCA_0.90
0.2,1e-04,CCL3,34,0.0282597619210448,0.0164090470749362,-0.00390137936645257,0.0604209032085421,0.0850321797128737,PCA_0.99
0.2,1e-04,CCL3,34,0.00805079340734858,0.0275326091799443,-0.0459121289857591,0.0620137158004563,0.769973630968528,MR_Egger
0.2,1e-04,CCL3,34,0.00367782238066428,0.00435906867114255,-0.00486579522091198,0.0122214399822405,0.398827304165901,EggerInt
