r2_thresh,P_thresh,Protein,N_ins,beta,SE,LCI,UCI,P_value,Method
0.05,1,CSF-1,64,0.0878107779924768,0.0240022524671396,0.0407672276090455,0.134854328375908,0.000253756058762844,IVW
0.05,1,CSF-1,64,0.0704003541567396,0.0356657488382447,0.000496770952128772,0.14030393736135,0.0483939676985313,PCA_0.90
0.05,1,CSF-1,64,0.103786197057452,0.0262410708799447,0.0523546432169975,0.155217750897906,7.65009675609345e-05,PCA_0.99
0.05,1,CSF-1,64,0.140189007915225,0.0375250301217309,0.0666413003578517,0.213736715472598,0.0001870598949123,MR_Egger
0.05,1,CSF-1,64,-0.00515770965751026,0.0030144340678095,-0.0110658918641875,0.000750472549166929,0.0870803187083791,EggerInt
0.05,0.01,CSF-1,19,0.093362849368812,0.0242780620182674,0.045778722198578,0.140946976539046,0.00012027530181031,IVW
0.05,0.01,CSF-1,19,0.0764169868316921,0.0351103040822385,0.00760205534425501,0.145231918319129,0.0295191488647652,PCA_0.90
0.05,0.01,CSF-1,19,0.0812147404278785,0.029197697764123,0.0239883043787118,0.138441176477045,0.00541006573732096,PCA_0.99
0.05,0.01,CSF-1,19,0.0909477426647058,0.0615765363080235,-0.0297400507917431,0.211635536121155,0.139679126261647,MR_Egger
0.05,0.01,CSF-1,19,0.000289928425680355,0.00673965510088271,-0.0129195528402714,0.0134994096916321,0.96568695545076,EggerInt
0.05,0.001,CSF-1,10,0.0800991583892591,0.0269432817428681,0.027291296547922,0.132907020230596,0.0029501923459504,IVW
0.05,0.001,CSF-1,10,0.070139660536969,0.0362347562388188,-0.000879156679703855,0.141158477753642,0.052904309429996,PCA_0.90
0.05,0.001,CSF-1,10,0.0728241914768279,0.0334052023730061,0.00735119792946402,0.138297185024192,0.0292555747887099,PCA_0.99
0.05,0.001,CSF-1,10,0.083833288491197,0.0648719698254046,-0.043313435972765,0.210980012955159,0.196257317513563,MR_Egger
0.05,0.001,CSF-1,10,-0.000471355236688879,0.00742971654862331,-0.0150333320873318,0.014090621613954,0.94941463351846,EggerInt
0.05,1e-04,CSF-1,7,0.0762445395387316,0.0286414649109851,0.020108299848733,0.13238077922873,0.00776701442977898,IVW
0.05,1e-04,CSF-1,7,0.080504016835484,0.0363266528570394,0.00930508555679763,0.15170294811417,0.0266836714243377,PCA_0.90
0.05,1e-04,CSF-1,7,0.0751990139337707,0.034303193694949,0.00796598973696931,0.142432038130572,0.0283660095846537,PCA_0.99
0.05,1e-04,CSF-1,7,0.143269615091143,0.162322073522334,-0.174875802908494,0.46141503309078,0.377438600373797,MR_Egger
0.05,1e-04,CSF-1,7,-0.00958100245710668,0.0221243980379045,-0.0529440257910282,0.0337820208768148,0.66497739888566,EggerInt
0.05,1e-05,CSF-1,6,0.0744481597345549,0.0291142936677481,0.0173851927104461,0.131511126758664,0.0105548876387728,IVW
0.05,1e-05,CSF-1,6,0.0820349098537379,0.0344543314075221,0.0145056611835873,0.149564158523888,0.0172668726824595,PCA_0.90
0.05,1e-05,CSF-1,6,0.0780459280088371,0.0293485946100372,0.020523739576298,0.135568116441376,0.00783094586622855,PCA_0.99
0.05,1e-05,CSF-1,6,0.138483475063961,0.151948201002509,-0.159329526416609,0.436296476544531,0.362091986119404,MR_Egger
0.05,1e-05,CSF-1,6,-0.00903938575537064,0.0204899105320468,-0.0491988724446302,0.0311201009338889,0.659095161349499,EggerInt
0.05,5e-08,CSF-1,2,0.0700833759042406,0.0333108171562385,0.00479537398241435,0.135371377826067,0.0353852126627247,IVW
0.05,5e-08,CSF-1,2,0.0702073931067744,0.0338721980011413,0.00381910494732785,0.136595681266221,0.0381988653197973,PCA_0.90
0.05,5e-08,CSF-1,2,0.0702073931067744,0.0338721980011413,0.00381910494732785,0.136595681266221,0.0381988653197973,PCA_0.99
0.05,5e-08,CSF-1,2,,,,,,MR_Egger
0.05,5e-08,CSF-1,2,,,,,,EggerInt
0.1,1,CSF-1,85,0.055875996346043,0.0156924196438103,0.025119419013886,0.0866325736782,0.000369867674329321,IVW
0.1,1,CSF-1,85,0.0960178522212717,0.0342643608079364,0.0288609390844307,0.163174765358113,0.00507450192447999,PCA_0.90
0.1,1,CSF-1,85,0.0748822399861918,0.01858723294699,0.038451932837835,0.111312547134549,5.60880007975896e-05,PCA_0.99
0.1,1,CSF-1,85,0.112537967754483,0.0218795791453792,0.0696547806326464,0.15542115487632,2.69643523731489e-07,MR_Egger
0.1,1,CSF-1,85,-0.0066543612190253,0.00196877995217576,-0.0105130990187743,-0.00279562341927632,0.000725012389909852,EggerInt
0.1,0.01,CSF-1,24,0.0652585984092783,0.017975263345571,0.0300277296393362,0.10048946717922,0.000282908997000093,IVW
0.1,0.01,CSF-1,24,0.0987231490609347,0.0329251374830768,0.0341910654080744,0.163255232713795,0.00271389931133643,PCA_0.90
0.1,0.01,CSF-1,24,0.0805476902910607,0.0199877697240827,0.0413723815005784,0.119722999081543,5.58127361758181e-05,PCA_0.99
0.1,0.01,CSF-1,24,0.174518115741531,0.0455243780400916,0.085291974364365,0.263744257118696,0.000126328145092502,MR_Egger
