r2_thresh,P_thresh,Protein,N_ins,beta,SE,LCI,UCI,P_value,Method
0.05,1,CX3CL1,48,-0.0122498759162718,0.0225182213605609,-0.0563847787788717,0.0318850269463281,0.586442588383315,IVW
0.05,1,CX3CL1,48,0.0204455678154577,0.0375836195854128,-0.0532169729806056,0.0941081086115209,0.586440030763225,PCA_0.90
0.05,1,CX3CL1,48,-0.00838669455726703,0.0250202042139786,-0.0574253937025024,0.0406520045879683,0.737476570376266,PCA_0.99
0.05,1,CX3CL1,48,-0.0211711049727966,0.0294405485109352,-0.0788735197393339,0.0365313097937406,0.472070799753027,MR_Egger
0.05,1,CX3CL1,48,0.00135219444570986,0.00312394013827936,-0.00477061571517676,0.00747500460659649,0.665124454030227,EggerInt
0.05,0.01,CX3CL1,24,0.000825776827225868,0.0221136232986209,-0.0425161284057569,0.0441676820602086,0.970211960501743,IVW
0.05,0.01,CX3CL1,24,0.0233952551132513,0.0365449063432641,-0.0482314451379357,0.0950219553644383,0.522056704863037,PCA_0.90
0.05,0.01,CX3CL1,24,0.00322661116365558,0.0241078419285044,-0.0440238907611976,0.0504771130885087,0.893528519002858,PCA_0.99
0.05,0.01,CX3CL1,24,0.0255790672660649,0.0455425864406045,-0.0636827619203222,0.114840896452452,0.574353405740837,MR_Egger
0.05,0.01,CX3CL1,24,-0.00423434554351205,0.00674378178142512,-0.0174519149547026,0.00898322386767854,0.530076740564344,EggerInt
0.05,0.001,CX3CL1,20,0.00377904680846324,0.0229428441644028,-0.0411881014566812,0.0487461950736077,0.869167753064988,IVW
0.05,0.001,CX3CL1,20,0.00646293482318382,0.0366167674866729,-0.0653046106809724,0.07823048032734,0.859899531917527,PCA_0.90
0.05,0.001,CX3CL1,20,-0.00239958121230458,0.0247227364251697,-0.0508552542049138,0.0460560917803046,0.92267898985208,PCA_0.99
0.05,0.001,CX3CL1,20,0.0297421803102322,0.0448892887134075,-0.0582392088596668,0.117723569480131,0.507607640529432,MR_Egger
0.05,0.001,CX3CL1,20,-0.0044829716197445,0.00665825279527584,-0.0175329072984483,0.00856696405895929,0.500759317469899,EggerInt
0.05,1e-04,CX3CL1,15,-0.00260715083623835,0.0235367080781743,-0.048738250984093,0.0435239493116163,0.911799083071418,IVW
0.05,1e-04,CX3CL1,15,0.00576129376462227,0.0369961398641675,-0.0667498079361526,0.0782723954653971,0.876248301410533,PCA_0.90
0.05,1e-04,CX3CL1,15,0.00258994070198586,0.0251410332578891,-0.0466855790176005,0.0518654604215722,0.917949892902008,PCA_0.99
0.05,1e-04,CX3CL1,15,0.0430582565278814,0.0508323633995548,-0.056571344984298,0.142687858040061,0.396959543328972,MR_Egger
0.05,1e-04,CX3CL1,15,-0.00790995270641071,0.00762343159651863,-0.0228516040741919,0.00703169866137048,0.299463644384129,EggerInt
0.05,1e-05,CX3CL1,11,0.0175508301917625,0.0255930385553876,-0.0326106036317422,0.0677122640152673,0.492860814986692,IVW
0.05,1e-05,CX3CL1,11,-0.00366540269244099,0.0359280160667705,-0.0740830202192876,0.0667522148344056,0.91874021490026,PCA_0.90
0.05,1e-05,CX3CL1,11,0.00975485662539311,0.0275115268230126,-0.0441667451074193,0.0636764583582055,0.722909178916769,PCA_0.99
0.05,1e-05,CX3CL1,11,0.0523167894084557,0.0795026740265791,-0.103505588358267,0.208139167175179,0.510505560363786,MR_Egger
0.05,1e-05,CX3CL1,11,-0.00658327402175857,0.0139159196482251,-0.0338579753440331,0.0206914273005159,0.636159654937782,EggerInt
0.05,5e-08,CX3CL1,9,0.0197340631114259,0.0272469477542066,-0.0336689731754636,0.0731370993983154,0.468901877427203,IVW
0.05,5e-08,CX3CL1,9,0.00338517383300065,0.0368749775544298,-0.0688884541044045,0.0756588017704058,0.926855847482527,PCA_0.90
0.05,5e-08,CX3CL1,9,0.0179640540206445,0.0277825253699666,-0.0364886951040604,0.0724168031453494,0.517893814583961,PCA_0.99
0.05,5e-08,CX3CL1,9,0.0535862007369224,0.0778021671792334,-0.0989032448535393,0.206075646327384,0.490980944406835,MR_Egger
0.05,5e-08,CX3CL1,9,-0.0063677784969953,0.0134160197742414,-0.0326626940703856,0.019927137076395,0.635043650501292,EggerInt
0.1,1,CX3CL1,58,-0.0237742880972873,0.0176225096738034,-0.0583137723751506,0.010765196180576,0.177309216727193,IVW
0.1,1,CX3CL1,58,0.00871348709657292,0.0302669654972265,-0.0506086751993075,0.0680356493924534,0.773432702157684,PCA_0.90
0.1,1,CX3CL1,58,-0.0108536830301528,0.0182520543923066,-0.0466270522829398,0.0249196862226341,0.552073828230096,PCA_0.99
0.1,1,CX3CL1,58,0.0328558726921243,0.026760355685727,-0.0195934606653822,0.0853052060496309,0.219528959460375,MR_Egger
0.1,1,CX3CL1,58,-0.00877621473123039,0.0033537268944101,-0.0153493986582575,-0.00220303080420323,0.00887442057447374,EggerInt
0.1,0.01,CX3CL1,24,-0.0168873018385475,0.0194654183935723,-0.0550388208339528,0.0212642171568578,0.385638530891845,IVW
0.1,0.01,CX3CL1,24,0.0103405237178828,0.0296905087575563,-0.0478518041295986,0.0685328515653643,0.727632104534168,PCA_0.90
0.1,0.01,CX3CL1,24,-0.00667709898511339,0.0181594699500596,-0.0422690060655675,0.0289148080953408,0.713102612352578,PCA_0.99
0.1,0.01,CX3CL1,24,0.000475735211511581,0.0510970225194452,-0.0996725886438331,0.100624059066856,0.992571459593915,MR_Egger
0.1,0.01,CX3CL1,24,-0.00267045465122754,0.00735539834151146,-0.0170867704925356,0.0117458611900806,0.7165596854349,EggerInt
0.1,0.001,CX3CL1,19,-0.0121788821718994,0.0209732668601086,-0.0532857298558596,0.0289279655120609,0.56145210758469,IVW
0.1,0.001,CX3CL1,19,0.0120619228571975,0.0283550165770569,-0.0435128884148702,0.0676367341292653,0.670552848200161,PCA_0.90
0.1,0.001,CX3CL1,19,-0.0088143930885314,0.0181495496579766,-0.0443868567537867,0.0267580705767239,0.627212827448455,PCA_0.99
0.1,0.001,CX3CL1,19,0.00434538829138001,0.0527514469840455,-0.0990455479297231,0.107736324512483,0.934348698792472,MR_Egger
0.1,0.001,CX3CL1,19,-0.00254840659440273,0.00759279212142451,-0.0174300056944942,0.0123331925056888,0.737146146152021,EggerInt
0.1,1e-04,CX3CL1,16,-0.00508890221069577,0.0192264477336479,-0.0427720473192874,0.0325942428978959,0.791254141615109,IVW
0.1,1e-04,CX3CL1,16,0.0099363540080939,0.0280147033647059,-0.0449714556243028,0.0648441636404906,0.722826687547929,PCA_0.90
0.1,1e-04,CX3CL1,16,0.00330315644555524,0.0199013293900126,-0.035702732403338,0.0423090452944485,0.868175307577209,PCA_0.99
0.1,1e-04,CX3CL1,16,0.0444371996235487,0.0523550094740407,-0.0581767333558244,0.147051132602922,0.396011006142459,MR_Egger
0.1,1e-04,CX3CL1,16,-0.00753504612707621,0.00747821357569473,-0.0221920754041364,0.00712198314998394,0.313646649154721,EggerInt
0.1,1e-05,CX3CL1,12,0.00547736650495781,0.0185138588185312,-0.0308091299942226,0.0417638630041382,0.767342930042436,IVW
0.1,1e-05,CX3CL1,12,-0.00131843653856891,0.0279212508212876,-0.0560430825516019,0.0534062094744641,0.962338028192903,PCA_0.90
0.1,1e-05,CX3CL1,12,0.00760704627289837,0.0221953563724244,-0.035895052841085,0.0511091453868817,0.731800514036035,PCA_0.99
0.1,1e-05,CX3CL1,12,0.040765016020873,0.0755145398985928,-0.107240762489482,0.188770794531228,0.589314258146323,MR_Egger
0.1,1e-05,CX3CL1,12,-0.00564422856595663,0.0117007973466318,-0.0285773699557567,0.0172889128238435,0.629536151016352,EggerInt
0.1,5e-08,CX3CL1,10,0.00290704613892713,0.0207377655851045,-0.037738227527712,0.0435523198055662,0.888516776920416,IVW
0.1,5e-08,CX3CL1,10,-0.00260971609422459,0.0294675902260349,-0.0603651316484375,0.0551456994599884,0.929429810242998,PCA_0.90
0.1,5e-08,CX3CL1,10,0.00679054880844366,0.0225209179012724,-0.0373496391768336,0.0509307367937209,0.763016591632906,PCA_0.99
0.1,5e-08,CX3CL1,10,0.0342949630755831,0.079378419534926,-0.121283880362582,0.189873806513749,0.665709496640342,MR_Egger
0.1,5e-08,CX3CL1,10,-0.00495601534631649,0.0120875617767809,-0.0286472010897101,0.0187351703970771,0.681798967418843,EggerInt
0.2,1,CX3CL1,91,0.00415796475155478,0.0131644145497681,-0.0216438136435457,0.0299597431466553,0.752117263294359,IVW
0.2,1,CX3CL1,91,0.00203039652135989,0.0175092593590878,-0.032287121218423,0.0363479142611428,0.907683210953154,PCA_0.90
0.2,1,CX3CL1,91,0.000914808791057349,0.0146984145632994,-0.0278935543828484,0.0297231719649631,0.950372821188962,PCA_0.99
0.2,1,CX3CL1,91,-0.0222674092731829,0.0216193304228292,-0.0646405182717992,0.0201056997254335,0.303020885435328,MR_Egger
0.2,1,CX3CL1,91,0.00357561865027248,0.00249613189835523,-0.00131670997116536,0.00846794727171032,0.152011123454384,EggerInt
0.2,0.01,CX3CL1,43,0.0104159384441878,0.0117063633263903,-0.0125281120654778,0.0333599889538534,0.373590887188016,IVW
0.2,0.01,CX3CL1,43,0.00430364143305225,0.0168317779173036,-0.0286860370806394,0.0372933199467439,0.798193697901594,PCA_0.90
0.2,0.01,CX3CL1,43,0.00711828194633603,0.0137979795037831,-0.0199252609405007,0.0341618248331728,0.605929097491797,PCA_0.99
0.2,0.01,CX3CL1,43,-0.0166585660242562,0.028198874708201,-0.0719273448568877,0.0386102128083753,0.554686021053076,MR_Egger
0.2,0.01,CX3CL1,43,0.00395913956622582,0.00378341388850737,-0.00345621539385727,0.0113744945263089,0.295355013365993,EggerInt
0.2,0.001,CX3CL1,31,0.00672431704150138,0.0121271315927253,-0.0170444241160181,0.0304930581990209,0.579246715718457,IVW
0.2,0.001,CX3CL1,31,0.00413676652017883,0.0164332148628999,-0.0280717427613132,0.0363452758016709,0.801248198484065,PCA_0.90
0.2,0.001,CX3CL1,31,0.00547646547692983,0.0138169377502662,-0.0216042348902238,0.0325571658440834,0.691840322730496,PCA_0.99
0.2,0.001,CX3CL1,31,0.00579423353121298,0.0322300780694701,-0.0573755587038627,0.0689640257662886,0.857327475448442,MR_Egger
0.2,0.001,CX3CL1,31,0.000137675318513613,0.00443360970002276,-0.00855204001503843,0.00882739065206566,0.975227553377734,EggerInt
0.2,1e-04,CX3CL1,26,0.00411073933057994,0.0119126191816756,-0.0192375652270452,0.0274590438882051,0.730038475565254,IVW
0.2,1e-04,CX3CL1,26,0.0191680917003956,0.0173705769634398,-0.0148776135386276,0.0532137969394188,0.269818586475268,PCA_0.90
0.2,1e-04,CX3CL1,26,0.0113521262197863,0.0147248300553563,-0.0175080103671849,0.0402122628067575,0.440735824528429,PCA_0.99
0.2,1e-04,CX3CL1,26,0.011221860457188,0.0356338769919149,-0.0586192550764957,0.0810629759908717,0.7528215453607,MR_Egger
0.2,1e-04,CX3CL1,26,-0.00108572099899248,0.00508552310998561,-0.0110531631371104,0.00888172113912545,0.830942845094975,EggerInt
0.2,1e-05,CX3CL1,24,0.0113898095404716,0.012426241482111,-0.0129651762276637,0.0357447953086068,0.359355802741796,IVW
0.2,1e-05,CX3CL1,24,0.0185037384923275,0.0177411174983001,-0.0162682128498339,0.053275689834489,0.296954742444051,PCA_0.90
0.2,1e-05,CX3CL1,24,0.0131329690431951,0.015403609693436,-0.0170575511878516,0.0433234892742418,0.393886513573518,PCA_0.99
