r2_thresh,P_thresh,Protein,N_ins,beta,SE,LCI,UCI,P_value,Method
0.05,1,EN-RAGE,46,-0.0245625674770478,0.0286041928820521,-0.080625755332707,0.0315006203786114,0.390503213503886,IVW
0.05,1,EN-RAGE,46,-0.0196079721835563,0.0361002796579957,-0.0903632201450518,0.0511472757779391,0.587024521239996,PCA_0.90
0.05,1,EN-RAGE,46,-0.0225214716344824,0.0336464685895969,-0.0884673382770505,0.0434243950080857,0.503268298352285,PCA_0.99
0.05,1,EN-RAGE,46,-0.0281520371210242,0.0386746967279622,-0.103953049820839,0.0476489755787908,0.466663321164346,MR_Egger
0.05,1,EN-RAGE,46,0.000578889654806354,0.00305769742405126,-0.00541408717195501,0.00657186648156772,0.849840386176274,EggerInt
0.05,0.01,EN-RAGE,10,-0.0058301746459089,0.03679581546474,-0.0779486477385812,0.0662882984467634,0.874104836259485,IVW
0.05,0.01,EN-RAGE,10,0.000188035643760493,0.0428377371209464,-0.083772386292489,0.08414845758001,0.996497708204648,PCA_0.90
0.05,0.01,EN-RAGE,10,-0.00694000239302793,0.0389065937556986,-0.0831955249153282,0.0693155201292724,0.85842769978548,PCA_0.99
0.05,0.01,EN-RAGE,10,0.0588040604004253,0.112083394384605,-0.1608753558584,0.278483476659251,0.599829576506973,MR_Egger
0.05,0.01,EN-RAGE,10,-0.00899229920282975,0.0132442683360811,-0.0349505881431329,0.0169659897374734,0.497164605205858,EggerInt
0.05,0.001,EN-RAGE,7,-0.00788574993311879,0.0412796240720579,-0.0887923264097049,0.0730208265434673,0.848500127898193,IVW
0.05,0.001,EN-RAGE,7,0.00136251323529015,0.0440366198638422,-0.0849476756987217,0.0876727021693021,0.97531702367028,PCA_0.90
0.05,0.001,EN-RAGE,7,-0.00194992662221828,0.0414381760355048,-0.0831672592368383,0.0792674059924018,0.962468368215938,PCA_0.99
0.05,0.001,EN-RAGE,7,0.0569076685514533,0.0960971054927527,-0.131439197232888,0.245254534335795,0.553723896982553,MR_Egger
0.05,0.001,EN-RAGE,7,-0.00934120000194433,0.0112829599736658,-0.0314553951893364,0.0127729951854477,0.407725255583673,EggerInt
0.05,1e-04,EN-RAGE,4,-0.00554007023622025,0.0420018017028392,-0.0878620888595782,0.0767819483871377,0.895062774866679,IVW
0.05,1e-04,EN-RAGE,4,-0.00605857118194564,0.0438141034181267,-0.0919326358963871,0.0798154935324959,0.89001990764717,PCA_0.90
0.05,1e-04,EN-RAGE,4,-0.00249468293458687,0.0432293548668216,-0.0872226615484584,0.0822332956792847,0.953981159991753,PCA_0.99
0.05,1e-04,EN-RAGE,4,0.041119865071449,0.226330880608642,-0.402480509510724,0.484720239653623,0.855833617335258,MR_Egger
0.05,1e-04,EN-RAGE,4,-0.0074957612287768,0.0333665423032886,-0.0728929824318547,0.0579014599743011,0.822252322319734,EggerInt
0.05,1e-05,EN-RAGE,4,-0.00554007023622025,0.0420018017028392,-0.0878620888595782,0.0767819483871377,0.895062774866679,IVW
0.05,1e-05,EN-RAGE,4,-0.00605857118194564,0.0438141034181267,-0.0919326358963871,0.0798154935324959,0.89001990764717,PCA_0.90
0.05,1e-05,EN-RAGE,4,-0.00249468293458687,0.0432293548668216,-0.0872226615484584,0.0822332956792847,0.953981159991753,PCA_0.99
0.05,1e-05,EN-RAGE,4,0.041119865071449,0.226330880608642,-0.402480509510724,0.484720239653623,0.855833617335258,MR_Egger
0.05,1e-05,EN-RAGE,4,-0.0074957612287768,0.0333665423032886,-0.0728929824318547,0.0579014599743011,0.822252322319734,EggerInt
0.05,5e-08,EN-RAGE,2,-0.00186362044441132,0.0465289482924828,-0.093058683336204,0.0893314424473814,0.968050932613745,IVW
0.05,5e-08,EN-RAGE,2,-0.00180738002196403,0.0465290278279065,-0.0930025988003228,0.0893878387563947,0.969014653581733,PCA_0.90
0.05,5e-08,EN-RAGE,2,-0.00180738002196403,0.0465290278279065,-0.0930025988003228,0.0893878387563947,0.969014653581733,PCA_0.99
0.05,5e-08,EN-RAGE,2,,,,,,MR_Egger
0.05,5e-08,EN-RAGE,2,,,,,,EggerInt
0.1,1,EN-RAGE,62,-0.0157914066813978,0.0220173717251873,-0.0589446622969954,0.0273618489341997,0.473235353034514,IVW
0.1,1,EN-RAGE,62,0.00306465883495866,0.0348457498137808,-0.065231755814345,0.0713610734842624,0.929916983351213,PCA_0.90
0.1,1,EN-RAGE,62,-0.00208134145633444,0.0294593139587111,-0.0598205358246662,0.0556578529119973,0.943675209890753,PCA_0.99
0.1,1,EN-RAGE,62,-0.00213880239380666,0.0361006964714783,-0.0728948672947163,0.0686172625071029,0.9527566008127,MR_Egger
0.1,1,EN-RAGE,62,-0.00107118978534717,0.00229333746546423,-0.00556604862205344,0.00342366905135909,0.640437114167121,EggerInt
0.1,0.01,EN-RAGE,14,-0.0260665912481053,0.0285148230792912,-0.0819546175090475,0.029821435012837,0.360642349167244,IVW
0.1,0.01,EN-RAGE,14,0.00333871696937711,0.0360430113833801,-0.0673042872364151,0.0739817211751693,0.926196345271101,PCA_0.90
0.1,0.01,EN-RAGE,14,-0.00665167574870264,0.0330829316274624,-0.0714930302415299,0.0581896787441246,0.840651150108858,PCA_0.99
0.1,0.01,EN-RAGE,14,0.0141532925326697,0.0616103066211817,-0.106600689521316,0.134907274586655,0.818307171948881,MR_Egger
0.1,0.01,EN-RAGE,14,-0.00499990622460414,0.00668688524587939,-0.01810596047528,0.00810614802607172,0.454630112605527,EggerInt
0.1,0.001,EN-RAGE,10,-0.0123882722553673,0.0309189015605745,-0.0729882057556326,0.048211661244898,0.688663196993835,IVW
0.1,0.001,EN-RAGE,10,-0.00193252475865686,0.0351138369914227,-0.0707543806208557,0.066889331103542,0.956109791876075,PCA_0.90
0.1,0.001,EN-RAGE,10,-0.00858182927917934,0.0324977387955864,-0.0722762268975188,0.0551125683391601,0.791722390444534,PCA_0.99
0.1,0.001,EN-RAGE,10,0.00261557718129802,0.0732851486452628,-0.141020674765081,0.146251829127677,0.971529215442976,MR_Egger
0.1,0.001,EN-RAGE,10,-0.002045365055956,0.00861518923037655,-0.0189308256674914,0.0148400955555794,0.81233576300395,EggerInt
0.1,1e-04,EN-RAGE,6,-8.86660502097786e-05,0.0339601610341235,-0.0666493585862724,0.0664720264858528,0.997916818118628,IVW
0.1,1e-04,EN-RAGE,6,-0.000140659805215592,0.0385942789021712,-0.0757840564627651,0.0755027368523339,0.997092055049557,PCA_0.90
0.1,1e-04,EN-RAGE,6,-0.00262768843213266,0.0357913300191812,-0.0727774062285151,0.0675220293642498,0.941474371070601,PCA_0.99
