r2_thresh,P_thresh,Protein,N_ins,beta,SE,LCI,UCI,P_value,Method
0.05,1,FGF-23,70,-0.100267581843361,0.0659126586907816,-0.229454019002574,0.0289188553158517,0.128204915239891,IVW
0.05,1,FGF-23,70,-0.145599638914223,0.0607683718394522,-0.264703459118687,-0.0264958187097587,0.0165761172825609,PCA_0.90
0.05,1,FGF-23,70,-0.122700353810708,0.0529559816904156,-0.226492170689885,-0.0189085369315308,0.0205023490458231,PCA_0.99
0.05,1,FGF-23,70,-0.264750333719467,0.0724341326484142,-0.406718624961756,-0.122782042477179,0.000257132452252895,MR_Egger
0.05,1,FGF-23,70,0.00942672713990892,0.00281967683870332,0.00390026208800867,0.0149531921918092,0.000828199306686095,EggerInt
0.05,0.01,FGF-23,5,-0.174708871344666,0.0908424210751396,-0.352756744920362,0.00333900223103009,0.054453932424046,IVW
0.05,0.01,FGF-23,5,-0.176634396696363,0.0916737643265412,-0.356311673103596,0.00304287971087069,0.0540081123386276,PCA_0.90
0.05,0.01,FGF-23,5,-0.175554422093577,0.091664528688959,-0.355213596983775,0.00410475279662112,0.0554690653426512,PCA_0.99
0.05,0.01,FGF-23,5,-0.179714023050204,0.207142780536351,-0.585706412558935,0.226278366458528,0.38562141871641,MR_Egger
0.05,0.01,FGF-23,5,0.000340619729286939,0.0123131230657061,-0.0237926580167064,0.0244738974752803,0.977930817146818,EggerInt
0.05,0.001,FGF-23,2,-0.167056099269828,0.106413600323802,-0.375622923369719,0.0415107248300629,0.116444088793781,IVW
0.05,0.001,FGF-23,2,-0.159343289926947,0.106610667641581,-0.368296358872215,0.049609779018321,0.135011552065619,PCA_0.90
0.05,0.001,FGF-23,2,-0.159343289926947,0.106610667641581,-0.368296358872215,0.049609779018321,0.135011552065619,PCA_0.99
0.05,0.001,FGF-23,2,,,,,,MR_Egger
0.05,0.001,FGF-23,2,,,,,,EggerInt
0.05,1e-04,FGF-23,2,-0.167056099269828,0.106413600323802,-0.375622923369719,0.0415107248300629,0.116444088793781,IVW
0.05,1e-04,FGF-23,2,-0.159343289926947,0.106610667641581,-0.368296358872215,0.049609779018321,0.135011552065619,PCA_0.90
0.05,1e-04,FGF-23,2,-0.159343289926947,0.106610667641581,-0.368296358872215,0.049609779018321,0.135011552065619,PCA_0.99
0.05,1e-04,FGF-23,2,,,,,,MR_Egger
0.05,1e-04,FGF-23,2,,,,,,EggerInt
0.05,1e-05,FGF-23,1,-0.232193732193732,0.126279097984144,-0.479696216242859,0.0153087518553943,0.0659542486027013,Wald_1Ins
0.05,5e-08,FGF-23,1,-0.232193732193732,0.126279097984144,-0.479696216242859,0.0153087518553943,0.0659542486027013,Wald_1Ins
0.1,1,FGF-23,86,-0.0335349982967585,0.0481178671609555,-0.127844284945114,0.0607742883515968,0.485843829962817,IVW
0.1,1,FGF-23,86,-0.145633994507044,0.0530450732753826,-0.249600427684082,-0.0416675613300056,0.00604231211814395,PCA_0.90
0.1,1,FGF-23,86,-0.141972048606433,0.0458819327653657,-0.231898984367638,-0.0520451128452277,0.00197283922410654,PCA_0.99
0.1,1,FGF-23,86,-0.215148866090902,0.0594729462281278,-0.33171369875252,-0.0985840334292846,0.000297356424808548,MR_Egger
0.1,1,FGF-23,86,0.00892736410324138,0.0021381565678831,0.00473665423688274,0.0131180739696,2.97643148594595e-05,EggerInt
0.1,0.01,FGF-23,6,-0.175420811992209,0.0751550580819497,-0.322722019088847,-0.0281196048955721,0.0195895174650931,IVW
0.1,0.01,FGF-23,6,-0.198764255347119,0.0829517180101508,-0.361346635102737,-0.0361818755915009,0.0165685829532509,PCA_0.90
0.1,0.01,FGF-23,6,-0.184595976399185,0.0783935833653528,-0.338244576414315,-0.0309473763840555,0.0185360070662044,PCA_0.99
0.1,0.01,FGF-23,6,-0.175650809121318,0.319358972637533,-0.801582893630595,0.450281275387958,0.582312126886692,MR_Egger
0.1,0.01,FGF-23,6,1.62666095257892e-05,0.0203181123745918,-0.0398065018785117,0.0398390350975633,0.999361216486479,EggerInt
0.1,0.001,FGF-23,3,-0.197493379930616,0.0980537939133179,-0.389675284548231,-0.00531147531299964,0.0439955739963021,IVW
0.1,0.001,FGF-23,3,-0.201067857132412,0.0995267892047087,-0.396136779470551,-0.00599893479427355,0.0433586485262003,PCA_0.90
0.1,0.001,FGF-23,3,-0.201067857132412,0.0995267892047087,-0.396136779470551,-0.00599893479427355,0.0433586485262003,PCA_0.99
0.1,0.001,FGF-23,3,-0.238796882992052,0.561049831672229,-1.33843434660188,0.860840580617777,0.670381057585938,MR_Egger
0.1,0.001,FGF-23,3,0.00297331340558032,0.0380763687531841,-0.0716549980127267,0.0776016248238874,0.937757928934078,EggerInt
0.1,1e-04,FGF-23,2,-0.205596726016347,0.10063453235429,-0.402836785031785,-0.0083566670009082,0.0410520678476238,IVW
0.1,1e-04,FGF-23,2,-0.201414587978207,0.101148031835016,-0.399661087481948,-0.00316808847446495,0.0464495316487798,PCA_0.90
0.1,1e-04,FGF-23,2,-0.201414587978207,0.101148031835016,-0.399661087481948,-0.00316808847446495,0.0464495316487798,PCA_0.99
0.1,1e-04,FGF-23,2,,,,,,MR_Egger
0.1,1e-04,FGF-23,2,,,,,,EggerInt
0.1,1e-05,FGF-23,2,-0.205596726016347,0.10063453235429,-0.402836785031785,-0.0083566670009082,0.0410520678476238,IVW
0.1,1e-05,FGF-23,2,-0.201414587978207,0.101148031835016,-0.399661087481948,-0.00316808847446495,0.0464495316487798,PCA_0.90
0.1,1e-05,FGF-23,2,-0.201414587978207,0.101148031835016,-0.399661087481948,-0.00316808847446495,0.0464495316487798,PCA_0.99
0.1,1e-05,FGF-23,2,,,,,,MR_Egger
0.1,1e-05,FGF-23,2,,,,,,EggerInt
0.1,5e-08,FGF-23,1,-0.232193732193732,0.126279097984144,-0.479696216242859,0.0153087518553943,0.0659542486027013,Wald_1Ins
0.2,1,FGF-23,130,-0.0974312958880368,0.0399116498864869,-0.175656692229123,-0.0192058995469504,0.0146395851344429,IVW
0.2,1,FGF-23,130,-0.138229945316581,0.0440122686871374,-0.22449240682127,-0.0519674838118917,0.00168536568063755,PCA_0.90
0.2,1,FGF-23,130,-0.146661047021894,0.0385916844943786,-0.222299358733609,-0.071022735310179,0.000144504873262005,PCA_0.99
0.2,1,FGF-23,130,-0.117993329928179,0.0473560116181083,-0.210809407151132,-0.0251772527052267,0.0127160913144004,MR_Egger
0.2,1,FGF-23,130,0.000784159370158394,0.00133787520499922,-0.00183802784744922,0.00340634658776601,0.557792890637321,EggerInt
0.2,0.01,FGF-23,8,-0.144328133613182,0.0544883655334972,-0.25112336763529,-0.0375328995910742,0.00807809665067935,IVW
0.2,0.01,FGF-23,8,-0.143220545248513,0.0631410380682212,-0.266974705808699,-0.019466384688327,0.0233131191073279,PCA_0.90
0.2,0.01,FGF-23,8,-0.148639352517042,0.05550707437001,-0.257431219169448,-0.0398474858646359,0.00740974554580794,PCA_0.99
0.2,0.01,FGF-23,8,-0.195469537843741,0.289691571822023,-0.763254585239704,0.372315509552222,0.499834283443436,MR_Egger
0.2,0.01,FGF-23,8,0.00323206851864523,0.0173617837566821,-0.0307964023518242,0.0372605393891147,0.852319342704298,EggerInt
0.2,0.001,FGF-23,3,-0.182749765323939,0.0965664892418338,-0.372016606351408,0.00651707570352933,0.0584275855934272,IVW
0.2,0.001,FGF-23,3,-0.191512210396282,0.0980360850108493,-0.383659406202854,0.000634985410289224,0.050761924915164,PCA_0.90
0.2,0.001,FGF-23,3,-0.191512210396282,0.0980360850108493,-0.383659406202854,0.000634985410289224,0.050761924915164,PCA_0.99
0.2,0.001,FGF-23,3,-0.337123762925205,0.485401334097501,-1.288492895804,0.614245369953591,0.487352509910068,MR_Egger
0.2,0.001,FGF-23,3,0.0112817315102362,0.0343852388216053,-0.0561120981799188,0.0786755612003911,0.742837490867965,EggerInt
0.2,1e-04,FGF-23,3,-0.182749765323939,0.0965664892418338,-0.372016606351408,0.00651707570352933,0.0584275855934272,IVW
0.2,1e-04,FGF-23,3,-0.191512210396282,0.0980360850108493,-0.383659406202854,0.000634985410289224,0.050761924915164,PCA_0.90
0.2,1e-04,FGF-23,3,-0.191512210396282,0.0980360850108493,-0.383659406202854,0.000634985410289224,0.050761924915164,PCA_0.99
0.2,1e-04,FGF-23,3,-0.337123762925205,0.485401334097501,-1.288492895804,0.614245369953591,0.487352509910068,MR_Egger
0.2,1e-04,FGF-23,3,0.0112817315102362,0.0343852388216053,-0.0561120981799188,0.0786755612003911,0.742837490867965,EggerInt
0.2,1e-05,FGF-23,2,-0.205596726016347,0.10063453235429,-0.402836785031785,-0.0083566670009082,0.0410520678476238,IVW
0.2,1e-05,FGF-23,2,-0.201414587978207,0.101148031835016,-0.399661087481948,-0.00316808847446495,0.0464495316487798,PCA_0.90
0.2,1e-05,FGF-23,2,-0.201414587978207,0.101148031835016,-0.399661087481948,-0.00316808847446495,0.0464495316487798,PCA_0.99
0.2,1e-05,FGF-23,2,,,,,,MR_Egger
0.2,1e-05,FGF-23,2,,,,,,EggerInt
