r2_thresh,P_thresh,Protein,N_ins,beta,SE,LCI,UCI,P_value,Method
0.05,1,HGF,43,0.0549259049501531,0.0309260832015815,-0.00568810430783573,0.115539914208142,0.0757266221216238,IVW
0.05,1,HGF,43,0.0936706886663614,0.0480114010160195,-0.000429928172346619,0.187771305505069,0.0510559425210876,PCA_0.90
0.05,1,HGF,43,0.0470558732715307,0.0332521619260365,-0.018117166511595,0.112228913054656,0.157032663765351,PCA_0.99
0.05,1,HGF,43,0.0426844311533619,0.051291419445441,-0.0578449036756398,0.143213765982364,0.405299233939868,MR_Egger
0.05,1,HGF,43,0.00119001876219277,0.004104946814718,-0.00685552915310691,0.00923556667749246,0.771893733017245,EggerInt
0.05,0.01,HGF,8,0.0454411575017345,0.0541136271999965,-0.0606196028830857,0.151501917886555,0.401056459169541,IVW
0.05,0.01,HGF,8,0.106655035797232,0.0652034635356066,-0.0211414043998279,0.234451475994291,0.101896832386489,PCA_0.90
0.05,0.01,HGF,8,0.0212187124472978,0.0431105574393352,-0.0632764274872445,0.10571385238184,0.622582947751978,PCA_0.99
0.05,0.01,HGF,8,0.245600098639733,0.0984164806847742,0.0527073410123935,0.438492856267072,0.012577337535391,MR_Egger
0.05,0.01,HGF,8,-0.0202570623579763,0.00899924795800174,-0.0378952642436053,-0.00261886047234726,0.0243872602982398,EggerInt
0.05,0.001,HGF,5,0.0407244394101008,0.0598262962770064,-0.0765329466212544,0.157981825441456,0.496054147783582,IVW
0.05,0.001,HGF,5,0.0882099118310353,0.0598473846449724,-0.029088806642026,0.205508630304097,0.140504685980912,PCA_0.90
0.05,0.001,HGF,5,0.012552911114123,0.0465223141470456,-0.0786291490915447,0.103734971319791,0.787294430637346,PCA_0.99
0.05,0.001,HGF,5,0.212664077380047,0.102840276911938,0.0111008384725229,0.414227316287571,0.0386488158203493,MR_Egger
0.05,0.001,HGF,5,-0.0173869671524381,0.00930982450303735,-0.0356338878807798,0.000859953575903582,0.0618187617536044,EggerInt
0.05,1e-04,HGF,4,0.0753644726318384,0.0455243604817185,-0.0138616343315483,0.164590579595225,0.0978280411942597,IVW
0.05,1e-04,HGF,4,0.107660113498426,0.0634587063541964,-0.0167166654613024,0.232036892458153,0.0897840199721067,PCA_0.90
0.05,1e-04,HGF,4,0.107660113498426,0.0634587063541964,-0.0167166654613024,0.232036892458153,0.0897840199721067,PCA_0.99
0.05,1e-04,HGF,4,0.129909554405606,0.200590781142272,-0.263241152264002,0.523060261075214,0.517221235304822,MR_Egger
0.05,1e-04,HGF,4,-0.00606244946189965,0.0202300656019684,-0.0457126494466404,0.033587750522841,0.764424898109544,EggerInt
0.05,1e-05,HGF,4,0.0753644726318384,0.0455243604817185,-0.0138616343315483,0.164590579595225,0.0978280411942597,IVW
0.05,1e-05,HGF,4,0.107660113498426,0.0634587063541964,-0.0167166654613024,0.232036892458153,0.0897840199721067,PCA_0.90
0.05,1e-05,HGF,4,0.107660113498426,0.0634587063541964,-0.0167166654613024,0.232036892458153,0.0897840199721067,PCA_0.99
0.05,1e-05,HGF,4,0.129909554405606,0.200590781142272,-0.263241152264002,0.523060261075214,0.517221235304822,MR_Egger
