r2_thresh,P_thresh,Protein,N_ins,beta,SE,LCI,UCI,P_value,Method
0.05,1,IL-8,37,-0.0271944052363423,0.0538589385842093,-0.132755985106947,0.0783671746342626,0.613615678717091,IVW
0.05,1,IL-8,37,-0.0297110503756189,0.0726585512016722,-0.172119193899756,0.112697093148518,0.682603263716485,PCA_0.90
0.05,1,IL-8,37,-0.0297729449398509,0.0561664209213621,-0.139857107086238,0.0803112172065358,0.596053397236826,PCA_0.99
0.05,1,IL-8,37,-0.0918108421456702,0.0716418014312443,-0.232226192738479,0.0486045084471387,0.200008920042464,MR_Egger
0.05,1,IL-8,37,0.00475049506291346,0.0038264926373836,-0.00274929269346608,0.012250282819293,0.214430316798734,EggerInt
0.05,0.01,IL-8,4,-0.075237547797349,0.106655150483111,-0.284277801509946,0.133802705915248,0.48054381743232,IVW
0.05,0.01,IL-8,4,-0.219997725565832,0.109037214634883,-0.433706739224767,-0.00628871190689742,0.043628882677399,PCA_0.90
0.05,0.01,IL-8,4,-0.0758898867571192,0.0838902833058643,-0.240311820689475,0.0885320471752366,0.365660048239876,PCA_0.99
0.05,0.01,IL-8,4,-0.149583972166946,0.129984988689465,-0.404349868529144,0.105181924195252,0.249823239504501,MR_Egger
0.05,0.01,IL-8,4,0.00841146518040773,0.00960371079246212,-0.0104114620907566,0.0272343924515721,0.381108465754575,EggerInt
0.05,0.001,IL-8,2,-0.114202934854558,0.0901407667821429,-0.290875591286382,0.062469721577267,0.205176777234337,IVW
0.05,0.001,IL-8,2,-0.170641936952764,0.0953414970607253,-0.357507837423917,0.0162239635183891,0.0734865321895578,PCA_0.90
0.05,0.001,IL-8,2,-0.170641936952764,0.0953414970607253,-0.357507837423917,0.0162239635183891,0.0734865321895578,PCA_0.99
0.05,0.001,IL-8,2,,,,,,MR_Egger
0.05,0.001,IL-8,2,,,,,,EggerInt
0.05,1e-04,IL-8,1,-0.189232409381663,0.101988525712312,-0.389126246614132,0.0106614278508053,0.0635350717511608,Wald_1Ins
0.05,1e-05,IL-8,1,-0.189232409381663,0.101988525712312,-0.389126246614132,0.0106614278508053,0.0635350717511608,Wald_1Ins
0.05,5e-08,IL-8,1,-0.189232409381663,0.101988525712312,-0.389126246614132,0.0106614278508053,0.0635350717511608,Wald_1Ins
0.1,1,IL-8,48,-0.0249545352543561,0.0519897808785491,-0.126852633340442,0.0769435628317294,0.631235046263694,IVW
0.1,1,IL-8,48,-0.0584419180185011,0.0734174995351842,-0.202337572942448,0.085453736905446,0.426019460476492,PCA_0.90
0.1,1,IL-8,48,-0.0374802082543123,0.0563833112435765,-0.147989467620835,0.0730290511122099,0.50621719131401,PCA_0.99
0.1,1,IL-8,48,-0.0439557614371746,0.0669144615630238,-0.175105696145591,0.0871941732712418,0.511248565966406,MR_Egger
0.1,1,IL-8,48,0.00134975391332377,0.00332182536597563,-0.00516090416692005,0.0078604119935676,0.684500894589989,EggerInt
0.1,0.01,IL-8,5,-0.0647290945440146,0.0984886094824699,-0.257763222017086,0.128305032929056,0.511036787037846,IVW
0.1,0.01,IL-8,5,-0.167549589570379,0.09517059179804,-0.3540805218819,0.0189813427411424,0.0783199299370438,PCA_0.90
0.1,0.01,IL-8,5,-0.0640676995904834,0.0830642088820772,-0.226870557403667,0.0987351582226999,0.440527168475001,PCA_0.99
0.1,0.01,IL-8,5,-0.134757750538015,0.122453688458858,-0.374762569691465,0.105247068615434,0.271123339647957,MR_Egger
0.1,0.01,IL-8,5,0.00799468313752283,0.00912759882227424,-0.0098950818194649,0.0258844480945106,0.381095161219773,EggerInt
0.1,0.001,IL-8,2,-0.114202934854558,0.0901407667821429,-0.290875591286382,0.062469721577267,0.205176777234337,IVW
0.1,0.001,IL-8,2,-0.170641936952764,0.0953414970607253,-0.357507837423917,0.0162239635183891,0.0734865321895578,PCA_0.90
0.1,0.001,IL-8,2,-0.170641936952764,0.0953414970607253,-0.357507837423917,0.0162239635183891,0.0734865321895578,PCA_0.99
0.1,0.001,IL-8,2,,,,,,MR_Egger
0.1,0.001,IL-8,2,,,,,,EggerInt
0.1,1e-04,IL-8,1,-0.189232409381663,0.101988525712312,-0.389126246614132,0.0106614278508053,0.0635350717511608,Wald_1Ins
0.1,1e-05,IL-8,1,-0.189232409381663,0.101988525712312,-0.389126246614132,0.0106614278508053,0.0635350717511608,Wald_1Ins
0.1,5e-08,IL-8,1,-0.189232409381663,0.101988525712312,-0.389126246614132,0.0106614278508053,0.0635350717511608,Wald_1Ins
0.2,1,IL-8,70,-0.0841065957315544,0.0466719575787036,-0.175581951673795,0.00736876021068592,0.0715328386767914,IVW
0.2,1,IL-8,70,-0.109452831011572,0.0560345860335855,-0.219278601526011,0.000372939502866626,0.0507830555201247,PCA_0.90
0.2,1,IL-8,70,-0.0708120669772965,0.0428168676799038,-0.154731585560725,0.0131074516061319,0.0981608876113052,PCA_0.99
0.2,1,IL-8,70,-0.0913694167046136,0.0475077295739144,-0.184482855656754,0.00174402224752694,0.0544481961248344,MR_Egger
0.2,1,IL-8,70,0.000611617909016346,0.00226502755704026,-0.0038277545267733,0.00505099034480599,0.787139715280094,EggerInt
0.2,0.01,IL-8,9,-0.150228993729962,0.0857369410862231,-0.318270310403591,0.0178123229436681,0.0797379690242444,IVW
0.2,0.01,IL-8,9,-0.183589849320843,0.0609002160501026,-0.302952079429752,-0.0642276192119334,0.00257317560739304,PCA_0.90
0.2,0.01,IL-8,9,-0.163644086285687,0.0559531090819186,-0.273310164909289,-0.0539780076620858,0.00344827484598467,PCA_0.99
0.2,0.01,IL-8,9,-0.179689016459471,0.11202066468385,-0.399245484764055,0.0398674518451138,0.108698566960513,MR_Egger
0.2,0.01,IL-8,9,0.00353410774070223,0.0105817984301699,-0.0172058360740932,0.0242740515554977,0.738394743324395,EggerInt
0.2,0.001,IL-8,5,-0.199121795398075,0.0723867126073015,-0.340997145067637,-0.0572464457285127,0.00594488587869589,IVW
0.2,0.001,IL-8,5,-0.210784494668823,0.0630950164144515,-0.334448454445112,-0.0871205348925351,0.000835532856929546,PCA_0.90
0.2,0.001,IL-8,5,-0.234720243608084,0.0608523439019137,-0.35398864603068,-0.115451841185488,0.000114688823355856,PCA_0.99
0.2,0.001,IL-8,5,-0.329077847371198,0.116923964511741,-0.55824460674385,-0.0999110879985468,0.00488592236997443,MR_Egger
0.2,0.001,IL-8,5,0.0152362358607753,0.0116245706728921,-0.00754750399383381,0.0380199757153845,0.189961724046138,EggerInt
0.2,1e-04,IL-8,2,-0.172837531154789,0.0975079482872496,-0.363949598004192,0.0182745356946143,0.0763036136762691,IVW
0.2,1e-04,IL-8,2,-0.218229397707907,0.109447625088039,-0.432742801073906,-0.00371599434190723,0.0461612082581703,PCA_0.90
0.2,1e-04,IL-8,2,-0.218229397707907,0.109447625088039,-0.432742801073906,-0.00371599434190723,0.0461612082581703,PCA_0.99
0.2,1e-04,IL-8,2,,,,,,MR_Egger
0.2,1e-04,IL-8,2,,,,,,EggerInt
0.2,1e-05,IL-8,1,-0.189232409381663,0.101988525712312,-0.389126246614132,0.0106614278508053,0.0635350717511608,Wald_1Ins
0.2,5e-08,IL-8,1,-0.189232409381663,0.101988525712312,-0.389126246614132,0.0106614278508053,0.0635350717511608,Wald_1Ins
0.4,1,IL-8,92,-0.0806143347770527,0.0392036883346558,-0.157452151974111,-0.00377651757999437,0.0397541231982141,IVW
0.4,1,IL-8,92,-0.103167680804226,0.0651227458713417,-0.23080591728641,0.0244705556779581,0.113147421046674,PCA_0.90
0.4,1,IL-8,92,-0.0896265075244654,0.0440490219485628,-0.175961004097863,-0.00329201095106796,0.0418811537700769,PCA_0.99
0.4,1,IL-8,92,-0.228833750234188,0.0367640771941974,-0.300890017459665,-0.156777483008711,4.83450390831308e-10,MR_Egger
0.4,1,IL-8,92,0.0085652223459583,0.00144179749594132,0.00573935118091328,0.0113910935110033,2.83884493690323e-09,EggerInt
0.4,0.01,IL-8,9,-0.163027725014601,0.0669275445345039,-0.29420330187593,-0.0318521481532734,0.0148554536556758,IVW
0.4,0.01,IL-8,9,-0.180076712278961,0.0804309655473451,-0.337718507993539,-0.0224349165643829,0.0251625662975341,PCA_0.90
0.4,0.01,IL-8,9,-0.155267559335855,0.0574390855263026,-0.267846098272324,-0.042689020399386,0.006868180167596,PCA_0.99
0.4,0.01,IL-8,9,-0.20192065927306,0.088823663903079,-0.376011841497985,-0.0278294770481342,0.0230095827893684,MR_Egger
0.4,0.01,IL-8,9,0.00522155660731358,0.00857910586741031,-0.0115931819123669,0.022036295126994,0.542765433338022,EggerInt
0.4,0.001,IL-8,6,-0.188566459901181,0.0753048638635984,-0.336161280934526,-0.0409716388678365,0.0122783835783727,IVW
0.4,0.001,IL-8,6,-0.17896687482246,0.0781158106137041,-0.332071050248472,-0.0258626993964486,0.0219607833860871,PCA_0.90
0.4,0.001,IL-8,6,-0.155957543320827,0.0776330389168317,-0.308115503608214,-0.00379958303344066,0.0445470138154539,PCA_0.99
0.4,0.001,IL-8,6,-0.278150675668506,0.112626730270998,-0.498895010696168,-0.0574063406408436,0.0135238352229152,MR_Egger
0.4,0.001,IL-8,6,0.0113526688212055,0.0115582011870745,-0.0113009892315287,0.0340063268739396,0.325992650573779,EggerInt
0.4,1e-04,IL-8,4,-0.144318226924937,0.0913022320601756,-0.323267313471,0.034630859621125,0.113954694455177,IVW
0.4,1e-04,IL-8,4,-0.156570303310138,0.0884549430609073,-0.329938805964058,0.0167981993437812,0.0767176228819278,PCA_0.90
0.4,1e-04,IL-8,4,-0.156570303310138,0.0884549430609073,-0.329938805964058,0.0167981993437812,0.0767176228819278,PCA_0.99
0.4,1e-04,IL-8,4,0.0616849693118726,0.281578300607405,-0.490198358706634,0.613568297330379,0.826596595837935,MR_Egger
0.4,1e-04,IL-8,4,-0.0474194731318216,0.0613522308218792,-0.167667635913893,0.0728286896502498,0.439578343337157,EggerInt
0.4,1e-05,IL-8,2,-0.154146164360659,0.0949603168699941,-0.340264965386359,0.0319726366650407,0.104531855406967,IVW
0.4,1e-05,IL-8,2,-0.295361147369258,0.148936942392028,-0.58727219042515,-0.00345010431336634,0.04735303873302,PCA_0.90
0.4,1e-05,IL-8,2,-0.295361147369258,0.148936942392028,-0.58727219042515,-0.00345010431336634,0.04735303873302,PCA_0.99
0.4,1e-05,IL-8,2,,,,,,MR_Egger
0.4,1e-05,IL-8,2,,,,,,EggerInt
0.4,5e-08,IL-8,1,-0.189232409381663,0.101988525712312,-0.389126246614132,0.0106614278508053,0.0635350717511608,Wald_1Ins
0.6,1,IL-8,126,-0.155818124328796,0.0220797775605712,-0.199093693134171,-0.112542555523421,1.70072773437976e-12,IVW
0.6,1,IL-8,126,-0.178392040872779,0.025970354616213,-0.22929300058629,-0.127491081159268,6.46242856839838e-12,PCA_0.90
0.6,1,IL-8,126,-0.160854632415131,0.0173522276748264,-0.19486437370933,-0.126844891120932,1.86198042550727e-20,PCA_0.99
0.6,1,IL-8,126,-0.188611495263746,0.0148041966714251,-0.217627187559787,-0.159595802967705,0,MR_Egger
0.6,1,IL-8,126,0.00263625816154842,0.000571027727649725,0.00151706438118121,0.00375545194191563,3.89908509856873e-06,EggerInt
0.6,0.01,IL-8,18,-0.18853155960009,0.0159574831051979,-0.219807651770184,-0.157255467429996,3.28038346620749e-32,IVW
0.6,0.01,IL-8,18,-0.203820281022504,0.0262862208363377,-0.255340327151392,-0.152300234893615,8.91244438440422e-15,PCA_0.90
0.6,0.01,IL-8,18,-0.183740304361103,0.0212888856753026,-0.225465753555687,-0.142014855166519,6.09195825643343e-18,PCA_0.99
0.6,0.01,IL-8,18,-0.21792228049322,0.0361380883581537,-0.288751632145328,-0.147092928841113,1.63690172527708e-09,MR_Egger
0.6,0.01,IL-8,18,0.00496639091063106,0.00565395834667129,-0.0061151638189343,0.0160479456401964,0.379731107741608,EggerInt
0.6,0.001,IL-8,10,-0.195967400222461,0.0145609783989141,-0.224506393463998,-0.167428406980923,2.74820619989599e-41,IVW
0.6,0.001,IL-8,10,-0.207676362193069,0.024858836628825,-0.256398786683131,-0.158953937703007,6.58626263523987e-17,PCA_0.90
0.6,0.001,IL-8,10,-0.219025197766793,0.0244258359463176,-0.26689895651386,-0.171151439019727,3.04844293973664e-19,PCA_0.99
0.6,0.001,IL-8,10,-0.217402707320134,0.045706711012839,-0.306986214757079,-0.127819199883189,1.97005204083389e-06,MR_Egger
0.6,0.001,IL-8,10,0.00388129466701918,0.00788191757776927,-0.0115669799145218,0.0193295692485601,0.622415216897763,EggerInt
0.6,1e-04,IL-8,7,-0.19736779346663,0.0138870002480123,-0.224585813806033,-0.170149773127227,7.67343056751722e-46,IVW
0.6,1e-04,IL-8,7,-0.20665361051841,0.023166709030762,-0.252059525859023,-0.161247695177798,4.6509641703031e-19,PCA_0.90
0.6,1e-04,IL-8,7,-0.209393829586818,0.023112085134597,-0.254692684058251,-0.164094975115384,1.30536571542966e-19,PCA_0.99
0.6,1e-04,IL-8,7,-0.0335064064019278,0.11319754108077,-0.25536951005873,0.188356697254874,0.767230525031397,MR_Egger
0.6,1e-04,IL-8,7,-0.0317343125343114,0.0216902254013026,-0.0742463731374203,0.0107777480687975,0.143448295706953,EggerInt
0.6,1e-05,IL-8,5,-0.215511125326127,0.0247704589203318,-0.264060332690507,-0.166961917961748,3.30925332104704e-18,IVW
0.6,1e-05,IL-8,5,-0.18213352185748,0.0486399833378699,-0.277466137408334,-0.0868009063066271,0.000180737034742034,PCA_0.90
0.6,1e-05,IL-8,5,-0.173315349746332,0.0351344947139109,-0.24217769400061,-0.104453005492053,8.10129060676937e-07,PCA_0.99
0.6,1e-05,IL-8,5,0.143524185343915,0.303781819686192,-0.451877240399062,0.738925611086893,0.636599832870113,MR_Egger
0.6,1e-05,IL-8,5,-0.0612892285726216,0.0514628971063811,-0.162154653441219,0.0395761962959758,0.233677095169114,EggerInt
0.6,5e-08,IL-8,3,-0.151222815455403,0.0395785199707391,-0.228795289159451,-0.0736503417513549,0.00013300305155009,IVW
0.6,5e-08,IL-8,3,-0.179973581105442,0.0466649295275244,-0.27143516232049,-0.0885119998903948,0.000114918528569624,PCA_0.90
0.6,5e-08,IL-8,3,-0.153769359393253,0.0400577151204953,-0.232281038332389,-0.0752576804541166,0.000123689852601584,PCA_0.99
0.6,5e-08,IL-8,3,0.142463390883336,1.19191816510674,-2.19365328524495,2.47858006701162,0.904859852136403,MR_Egger
0.6,5e-08,IL-8,3,-0.0585860027273016,0.234967414705242,-0.519113673090064,0.401941667635461,0.803100335384386,EggerInt
