r2_thresh,P_thresh,Protein,N_ins,beta,SE,LCI,UCI,P_value,Method
0.05,1,MMP-10,50,-0.0343916491562609,0.0134158552575467,-0.0606862422828547,-0.00809705602966705,0.0103620382374011,IVW
0.05,1,MMP-10,50,-0.0141371178934154,0.0246867113667022,-0.0625221830688874,0.0342479472820565,0.566874219179423,PCA_0.90
0.05,1,MMP-10,50,-0.0130073264582334,0.016530291481001,-0.0454061024149446,0.0193914494984779,0.431353154144926,PCA_0.99
0.05,1,MMP-10,50,-0.012614950097928,0.0192926465910956,-0.0504278425829349,0.0251979423870788,0.513193316609836,MR_Egger
0.05,1,MMP-10,50,-0.00415741172086868,0.00277514900306954,-0.00959660381861722,0.00128178037687986,0.134110921888581,EggerInt
0.05,0.01,MMP-10,29,-0.0261075420952148,0.012806007380221,-0.0512068553462021,-0.00100822884422757,0.0414804858322354,IVW
0.05,0.01,MMP-10,29,-0.0147433053807949,0.0247422707081886,-0.0632372648645849,0.0337506541029951,0.551258605267191,PCA_0.90
0.05,0.01,MMP-10,29,-0.01401254119287,0.0162253275032139,-0.0458135987365363,0.0177885163507964,0.387795865774275,PCA_0.99
0.05,0.01,MMP-10,29,-0.00172393514997644,0.0231989369400852,-0.0471930160321592,0.0437451457322063,0.940762960614498,MR_Egger
0.05,0.01,MMP-10,29,-0.00539934896919591,0.00400211964837325,-0.0132433593418276,0.00244466140343575,0.177297678223104,EggerInt
0.05,0.001,MMP-10,21,-0.0232385366572817,0.0130418423558995,-0.0488000779668937,0.0023230046523303,0.0747745733684436,IVW
0.05,0.001,MMP-10,21,-0.0151977248617319,0.0245870275159619,-0.0633874132799125,0.0329919635564488,0.536496469718205,PCA_0.90
0.05,0.001,MMP-10,21,-0.0156522449974494,0.0168582537852587,-0.0486938152587925,0.0173893252638937,0.353168063658117,PCA_0.99
0.05,0.001,MMP-10,21,-0.0130264501860227,0.0233966020244994,-0.0588829475146585,0.032830047142613,0.577686800811926,MR_Egger
0.05,0.001,MMP-10,21,-0.00234467019651086,0.0042893085367233,-0.0107515604470687,0.00606222005404701,0.584632077752343,EggerInt
0.05,1e-04,MMP-10,19,-0.0231132730068846,0.0130455117461782,-0.0486820061892882,0.00245546017551892,0.0764374970089488,IVW
0.05,1e-04,MMP-10,19,-0.0149971683348907,0.024525804776131,-0.0630668623879679,0.0330725257181864,0.540878367600772,PCA_0.90
0.05,1e-04,MMP-10,19,-0.0150912049218485,0.016709227170028,-0.0478406883846015,0.0176582785409045,0.3664378298222,PCA_0.99
0.05,1e-04,MMP-10,19,-0.013988252418062,0.0236020798675818,-0.0602474789187601,0.0322709740826361,0.553401802735414,MR_Egger
0.05,1e-04,MMP-10,19,-0.00208971730608625,0.00434586827215608,-0.0106074626010675,0.00642802798889497,0.630622040246468,EggerInt
0.05,1e-05,MMP-10,19,-0.0231132730068846,0.0130455117461782,-0.0486820061892882,0.00245546017551892,0.0764374970089488,IVW
0.05,1e-05,MMP-10,19,-0.0149971683348907,0.024525804776131,-0.0630668623879679,0.0330725257181864,0.540878367600772,PCA_0.90
0.05,1e-05,MMP-10,19,-0.0150912049218485,0.016709227170028,-0.0478406883846015,0.0176582785409045,0.3664378298222,PCA_0.99
0.05,1e-05,MMP-10,19,-0.013988252418062,0.0236020798675818,-0.0602474789187601,0.0322709740826361,0.553401802735414,MR_Egger
0.05,1e-05,MMP-10,19,-0.00208971730608625,0.00434586827215608,-0.0106074626010675,0.00642802798889497,0.630622040246468,EggerInt
0.05,5e-08,MMP-10,14,-0.0285738485653333,0.0139577973452143,-0.0559306286654621,-0.00121706846520462,0.0406423482230861,IVW
0.05,5e-08,MMP-10,14,-0.0142964701227512,0.024901938946341,-0.0631033736027948,0.0345104333572924,0.565892878913547,PCA_0.90
0.05,5e-08,MMP-10,14,-0.011428575537797,0.0167908822579782,-0.0443381000320867,0.0214809489564928,0.496098200564466,PCA_0.99
0.05,5e-08,MMP-10,14,0.0010379673077397,0.0273604332272017,-0.0525874964189886,0.054663431034468,0.969738071286039,MR_Egger
0.05,5e-08,MMP-10,14,-0.00750381487419134,0.00568857603306785,-0.0186532190223221,0.00364558927393937,0.187134847063017,EggerInt
0.1,1,MMP-10,77,-0.0111712899774213,0.00916483238777752,-0.0291340313818114,0.00679145142696888,0.222870727458653,IVW
0.1,1,MMP-10,77,-0.0245439635381089,0.0210813063362886,-0.0658625647042906,0.0167746376280729,0.244321701271294,PCA_0.90
0.1,1,MMP-10,77,-0.00922872846940515,0.0119819728009373,-0.0327129636229808,0.0142555066841705,0.441170719762719,PCA_0.99
0.1,1,MMP-10,77,-0.0272386039240224,0.012721985601347,-0.0521732375144996,-0.0023039703335452,0.0322687597727105,MR_Egger
0.1,1,MMP-10,77,0.00317837144717715,0.00196538495350119,-0.000673712277442106,0.00703045517179641,0.105840507312404,EggerInt
0.1,0.01,MMP-10,48,-0.0104333062726013,0.0100207274403233,-0.0300735711545271,0.0092069586093246,0.297795476308869,IVW
0.1,0.01,MMP-10,48,-0.0258972101298993,0.020934804368264,-0.0669286727150886,0.01513425245529,0.21607188299705,PCA_0.90
0.1,0.01,MMP-10,48,-0.00934250117814736,0.0119208346376734,-0.0327069077336449,0.0140219053773501,0.433209118540274,PCA_0.99
0.1,0.01,MMP-10,48,-0.0257334295148455,0.0163666043930755,-0.0578113846744885,0.00634452564479738,0.115877913580683,MR_Egger
0.1,0.01,MMP-10,48,0.00310426562381101,0.00278418344881638,-0.00235263366222162,0.00856116490984364,0.264865647492261,EggerInt
0.1,0.001,MMP-10,35,-0.0120116742361482,0.00980351963615061,-0.0312262196447346,0.00720287117243823,0.220484429548106,IVW
0.1,0.001,MMP-10,35,-0.0243102760777088,0.0203946583115791,-0.0642830718454044,0.0156625196899867,0.233264256632142,PCA_0.90
0.1,0.001,MMP-10,35,-0.0109457015505138,0.011698819518773,-0.0338749664689431,0.0119835633679155,0.349466582618343,PCA_0.99
0.1,0.001,MMP-10,35,-0.0183709139975011,0.0183903741819778,-0.0544153850563929,0.0176735570613907,0.317822872238778,MR_Egger
0.1,0.001,MMP-10,35,0.00126855214394919,0.00318710443408494,-0.0049780577618252,0.00751516204972358,0.690610623985362,EggerInt
0.1,1e-04,MMP-10,32,-0.0089394521922507,0.00981446782079101,-0.0281754556484284,0.010296551263927,0.362377410764435,IVW
0.1,1e-04,MMP-10,32,-0.0229612362297684,0.0200411186754329,-0.0622411070435101,0.0163186345839732,0.251916689949218,PCA_0.90
0.1,1e-04,MMP-10,32,-0.00467845897354422,0.010981889055534,-0.0262025660046054,0.0168456480575169,0.670096285096387,PCA_0.99
0.1,1e-04,MMP-10,32,-0.0138816929133179,0.0180377591591579,-0.0492350512270748,0.021471665400439,0.441542683419854,MR_Egger
0.1,1e-04,MMP-10,32,0.00100310412250964,0.00312767401784112,-0.00512702430784065,0.00713323255285993,0.748423434833153,EggerInt
0.1,1e-05,MMP-10,31,-0.00891457320045145,0.00997565733418026,-0.0284665022975576,0.0106373558966547,0.371518465801722,IVW
0.1,1e-05,MMP-10,31,-0.0228894974501432,0.0199315312697418,-0.0619545808955711,0.0161755859952847,0.250800845748457,PCA_0.90
0.1,1e-05,MMP-10,31,-0.00503654484498015,0.0109929268160674,-0.0265822854891569,0.0165091957991966,0.646835829019432,PCA_0.99
0.1,1e-05,MMP-10,31,-0.014233107878404,0.0182882725248308,-0.0500774633665257,0.0216112476097178,0.436413272989292,MR_Egger
0.1,1e-05,MMP-10,31,0.00108116126133397,0.0031823465024728,-0.00515612326983971,0.00731844579250766,0.734054498859138,EggerInt
0.1,5e-08,MMP-10,24,-0.00226987605464426,0.00952543176168757,-0.0209393792447458,0.0163996271354573,0.811651216793371,IVW
0.1,5e-08,MMP-10,24,-0.014545770516162,0.0220796147141232,-0.0578210201483641,0.0287294791160401,0.510032341821974,PCA_0.90
0.1,5e-08,MMP-10,24,-0.0108634076507041,0.0120891290798558,-0.0345576652516773,0.0128308499502691,0.368860634482978,PCA_0.99
0.1,5e-08,MMP-10,24,-0.0029638148671365,0.018270488011987,-0.0387733133506018,0.0328456836163288,0.871133632060846,MR_Egger
0.1,5e-08,MMP-10,24,0.000142927857559634,0.00320846001217746,-0.00614553821214513,0.0064313939272644,0.96446824212839,EggerInt
0.2,1,MMP-10,119,-0.0176400877344869,0.00697503735839357,-0.0313109097477597,-0.00396926572121406,0.0114377829514982,IVW
0.2,1,MMP-10,119,-0.0224041279434141,0.0167369325363984,-0.0552079129264315,0.0103996570396033,0.18069956288156,PCA_0.90
0.2,1,MMP-10,119,-0.0321696559567904,0.0100141372785188,-0.0517970043589272,-0.0125423075546536,0.00131619920393679,PCA_0.99
0.2,1,MMP-10,119,-0.0169385753507319,0.00987868192061836,-0.0363004361298709,0.00242328542840702,0.0864076813878274,MR_Egger
0.2,1,MMP-10,119,-0.00011535224214684,0.00138496951841164,-0.00282984261791944,0.00259913813362576,0.933622024542157,EggerInt
0.2,0.01,MMP-10,73,-0.016170602002504,0.00890042213801877,-0.0336151088402238,0.00127390483521576,0.0692423208239977,IVW
0.2,0.01,MMP-10,73,-0.019239084470074,0.0167160039372002,-0.0520018501524162,0.0135236812122682,0.249757735049426,PCA_0.90
0.2,0.01,MMP-10,73,-0.031411931602208,0.00975579127135242,-0.0505329311347489,-0.012290932069667,0.0012826928721032,PCA_0.99
0.2,0.01,MMP-10,73,-0.011005225585639,0.0137073271190541,-0.0378710930632942,0.0158606418920163,0.4220488711351,MR_Egger
0.2,0.01,MMP-10,73,-0.000940991024504311,0.00213243055819954,-0.00512047811810806,0.00323849606909944,0.659012995910551,EggerInt
0.2,0.001,MMP-10,58,-0.0156107546117632,0.00894325523876922,-0.0331392127843,0.00191770356077367,0.0808919881929578,IVW
0.2,0.001,MMP-10,58,-0.0181978725704366,0.0167452573640433,-0.0510179739158156,0.0146222287749424,0.277148257233125,PCA_0.90
0.2,0.001,MMP-10,58,-0.0312369973577215,0.00993720434830764,-0.0507135599874193,-0.0117604347280238,0.00166975118265894,PCA_0.99
0.2,0.001,MMP-10,58,-0.0250956439690996,0.0150385922877346,-0.0545707432312412,0.00437945529304209,0.0951670266449103,MR_Egger
0.2,0.001,MMP-10,58,0.00171284336072789,0.00238177477545165,-0.00295534941844332,0.0063810361398991,0.472051081449622,EggerInt
0.2,1e-04,MMP-10,50,-0.0143680826506503,0.00924610545470524,-0.0324901163391319,0.00375395103783128,0.120193839078763,IVW
0.2,1e-04,MMP-10,50,-0.0162781963446822,0.0165246939084608,-0.0486660012608139,0.0161096085714494,0.324583264529794,PCA_0.90
0.2,1e-04,MMP-10,50,-0.0298440367988592,0.0100040008474307,-0.0494515181611315,-0.0102365554365869,0.00285242073774138,PCA_0.99
0.2,1e-04,MMP-10,50,-0.01813928891182,0.0173542308021753,-0.0521529562634792,0.0158743784398392,0.295913319729416,MR_Egger
0.2,1e-04,MMP-10,50,0.000675067310848486,0.00280647337057406,-0.0048255194190474,0.00617565404074437,0.809912153219007,EggerInt
0.2,1e-05,MMP-10,49,-0.0141512779958574,0.00901392724620642,-0.0318182507576863,0.00351569476597153,0.116430282385855,IVW
0.2,1e-05,MMP-10,49,-0.0163930937706862,0.0164108904032286,-0.0485578479152482,0.0157716603738758,0.317835598081339,PCA_0.90
0.2,1e-05,MMP-10,49,-0.029800372833997,0.00991985184730927,-0.0492429251866963,-0.0103578204812978,0.00266354882360508,PCA_0.99
0.2,1e-05,MMP-10,49,-0.0124254070574356,0.0173169137222175,-0.0463659342763694,0.0215151201614981,0.473047062711276,MR_Egger
0.2,1e-05,MMP-10,49,-0.000308656761524683,0.00280426048177696,-0.00580490630907646,0.0051875927860271,0.912356176203915,EggerInt
0.2,5e-08,MMP-10,40,-0.00878806442179963,0.00877719861830911,-0.0259910575988402,0.00841492875524095,0.316711779490864,IVW
0.2,5e-08,MMP-10,40,-0.0120067654769692,0.0162297066980785,-0.0438164060848516,0.0198028751309132,0.45942029477012,PCA_0.90
0.2,5e-08,MMP-10,40,-0.019496821732172,0.0115407146609019,-0.0421162068233931,0.00312256335904904,0.0911438234741471,PCA_0.99
0.2,5e-08,MMP-10,40,-0.00915829786914723,0.0175303948066259,-0.043517240324902,0.0252006445866076,0.601375193352593,MR_Egger
0.2,5e-08,MMP-10,40,6.79934888127439e-05,0.00291695344403703,-0.0056491302060799,0.00578511718370539,0.981403185354419,EggerInt
0.4,1,MMP-10,199,0.0377526558556472,,,,,IVW
0.4,1,MMP-10,199,-0.00359442423604198,0.0144359647650714,-0.031888395257671,0.0246995467855871,0.803367800346375,PCA_0.90
0.4,1,MMP-10,199,-0.0228676919450489,0.0083185911346195,-0.0391718309710173,-0.00656355291908052,0.00597799093067516,PCA_0.99
0.4,1,MMP-10,199,0.0473609283365815,0.00246559998614668,0.0425284411634516,0.0521934155097114,0,MR_Egger
0.4,1,MMP-10,199,-0.00158631844172947,0.00044002565489082,-0.00244875287758913,-0.000723884005869812,0.000312082035921257,EggerInt
0.4,0.01,MMP-10,122,0.0157173053861635,0.00362916307394982,0.00860427646719918,0.0228303343051278,1.4854516418872e-05,IVW
0.4,0.01,MMP-10,122,-0.000748920909194332,0.0137743313120337,-0.0277461141919027,0.0262482723735141,0.956639771789957,PCA_0.90
0.4,0.01,MMP-10,122,-0.0233567994929267,0.0081963361265227,-0.0394213231060957,-0.00729227587975763,0.00437655117274609,PCA_0.99
0.4,0.01,MMP-10,122,-0.0355030530892883,0.0066742056874675,-0.048584255862137,-0.0224218503164396,1.04085727370418e-07,MR_Egger
0.4,0.01,MMP-10,122,0.00652201879770267,0.000809459771874235,0.00493550679789517,0.00810853079751018,8.88178419700125e-16,EggerInt
0.4,0.001,MMP-10,102,-0.00955319867275957,0.00507214546448185,-0.0194944211074922,0.00038802376197304,0.0596376399302219,IVW
0.4,0.001,MMP-10,102,-0.00296207493600948,0.0136617220376416,-0.0297385580965841,0.0238144082245652,0.828352026969662,PCA_0.90
0.4,0.001,MMP-10,102,-0.0239257095029787,0.00816633052125929,-0.0399314232104972,-0.00791999579546034,0.00339180987837628,PCA_0.99
0.4,0.001,MMP-10,102,-0.0355325634966975,0.00747142056981397,-0.0501762787268847,-0.0208888482665104,1.97664501966344e-06,MR_Egger
0.4,0.001,MMP-10,102,0.0040802196483102,0.00104926561118327,0.00202369684017459,0.00613674245644581,0.000100806160638012,EggerInt
