r2_thresh,P_thresh,Protein,N_ins,beta,SE,LCI,UCI,P_value,Method
0.05,1,SCF,18,0.071777721142509,0.0805330934467969,-0.0860642415768115,0.229619683861829,0.372777739272698,IVW
0.05,1,SCF,18,0.121847052491694,0.135498647641914,-0.143725416840341,0.387419521823728,0.368519931435925,PCA_0.90
0.05,1,SCF,18,0.119689886544957,0.0980631447548975,-0.0725103453853796,0.311890118475294,0.222260638078138,PCA_0.99
0.05,1,SCF,18,0.189889762519099,0.168363872221405,-0.14009736333256,0.519876888370757,0.259381844940325,MR_Egger
0.05,1,SCF,18,-0.00734861343676291,0.00909884781028159,-0.0251820274457259,0.0104848005722001,0.419296587751862,EggerInt
0.05,0.01,SCF,3,0.120076360459316,0.116013191336662,-0.107305316292096,0.347458037210727,0.300658012603421,IVW
0.05,0.01,SCF,3,0.145719605198337,0.134571767491265,-0.11803621242044,0.409475422817115,0.278879736214981,PCA_0.90
0.05,0.01,SCF,3,0.145719605198337,0.134571767491265,-0.11803621242044,0.409475422817115,0.278879736214981,PCA_0.99
0.05,0.01,SCF,3,0.12500039123628,0.331646157670812,-0.525014133409603,0.775014915882164,0.706241300960262,MR_Egger
0.05,0.01,SCF,3,-0.00053388835238575,0.0333682316789215,-0.0659344206708604,0.0648666439660889,0.987234471895752,EggerInt
0.05,0.001,SCF,1,0.147112462006079,0.157169680495908,-0.160934451227567,0.455159375239725,0.349267811799255,Wald_1Ins
0.05,1e-04,SCF,1,0.147112462006079,0.157169680495908,-0.160934451227567,0.455159375239725,0.349267811799255,Wald_1Ins
0.05,1e-05,SCF,1,0.147112462006079,0.157169680495908,-0.160934451227567,0.455159375239725,0.349267811799255,Wald_1Ins
0.1,1,SCF,19,0.114782118685589,0.0833491152413699,-0.0485791453307748,0.278143382701952,0.168473721949831,IVW
0.1,1,SCF,19,0.101840379071443,0.13915829731287,-0.1709048718117,0.374585629954586,0.464271623571969,PCA_0.90
0.1,1,SCF,19,0.157619563152438,0.0954811626330803,-0.029520076810411,0.344759203115287,0.098781003481114,PCA_0.99
0.1,1,SCF,19,0.196323058651516,0.167941262297177,-0.132835766969145,0.525481884272177,0.242404295844447,MR_Egger
0.1,1,SCF,19,-0.00496546503764675,0.00894238891121568,-0.0224922252393798,0.0125612951640863,0.578708102897245,EggerInt
0.1,0.01,SCF,3,0.120076360459316,0.116013191336662,-0.107305316292096,0.347458037210727,0.300658012603421,IVW
0.1,0.01,SCF,3,0.145719605198337,0.134571767491265,-0.11803621242044,0.409475422817115,0.278879736214981,PCA_0.90
0.1,0.01,SCF,3,0.145719605198337,0.134571767491265,-0.11803621242044,0.409475422817115,0.278879736214981,PCA_0.99
0.1,0.01,SCF,3,0.12500039123628,0.331646157670812,-0.525014133409603,0.775014915882164,0.706241300960262,MR_Egger
0.1,0.01,SCF,3,-0.00053388835238575,0.0333682316789215,-0.0659344206708604,0.0648666439660889,0.987234471895752,EggerInt
0.1,0.001,SCF,1,0.147112462006079,0.157169680495908,-0.160934451227567,0.455159375239725,0.349267811799255,Wald_1Ins
0.1,1e-04,SCF,1,0.147112462006079,0.157169680495908,-0.160934451227567,0.455159375239725,0.349267811799255,Wald_1Ins
0.1,1e-05,SCF,1,0.147112462006079,0.157169680495908,-0.160934451227567,0.455159375239725,0.349267811799255,Wald_1Ins
0.2,1,SCF,28,0.153600764419272,0.0575873338794682,0.0407316640498309,0.266469864788713,0.00764710149437042,IVW
