r2_thresh,P_thresh,Protein,N_ins,beta,SE,LCI,UCI,P_value,Method
0.05,1,TNFSF14,74,0.00985865695027746,0.0164486776866134,-0.0223801589087924,0.0420974728093473,0.54893375716984,IVW
0.05,1,TNFSF14,74,0.00858947548613705,0.0268243711356468,-0.0439853258476664,0.0611642768199405,0.74880791088702,PCA_0.90
0.05,1,TNFSF14,74,0.0194930235429565,0.0197262669162374,-0.0191697491622928,0.0581557962482058,0.323066459794282,PCA_0.99
0.05,1,TNFSF14,74,0.0266295241156426,0.0216848125561185,-0.0158719275058517,0.0691309757371369,0.219437026313418,MR_Egger
0.05,1,TNFSF14,74,-0.00239431568038468,0.0020760527169021,-0.00646330423551932,0.00167467287474997,0.248786463383875,EggerInt
0.05,0.01,TNFSF14,24,0.0108272410140603,0.0182161983804464,-0.0248758517468516,0.0465303337749722,0.552261762418399,IVW
0.05,0.01,TNFSF14,24,0.00886909309552421,0.026765474658772,-0.0435902732647884,0.0613284594558368,0.740370165007756,PCA_0.90
0.05,0.01,TNFSF14,24,0.013665518349008,0.0197495890558313,-0.0250429649098878,0.0523740016079038,0.488975400664892,PCA_0.99
0.05,0.01,TNFSF14,24,0.0261466916671192,0.0263223023163463,-0.0254440728630947,0.0777374561973331,0.320549919097511,MR_Egger
0.05,0.01,TNFSF14,24,-0.00271652833151323,0.00348794074123999,-0.00955276656455354,0.00411970990152708,0.436077254482053,EggerInt
0.05,0.001,TNFSF14,18,0.00598455422081042,0.0217451935880616,-0.0366352420486417,0.0486043504902625,0.783152802786406,IVW
0.05,0.001,TNFSF14,18,0.00915762300370148,0.0268113628267742,-0.0433916825132119,0.0617069285206149,0.732683899117315,PCA_0.90
0.05,0.001,TNFSF14,18,0.0120691257325382,0.0200262954433773,-0.0271816920802398,0.0513199435453163,0.546732287721278,PCA_0.99
0.05,0.001,TNFSF14,18,0.0247586500177841,0.0273898691626068,-0.0289245070821896,0.0784418071177577,0.366030088913365,MR_Egger
0.05,0.001,TNFSF14,18,-0.00403207982109017,0.00399631340736765,-0.0118647101704653,0.00380055052828497,0.312998685056294,EggerInt
0.05,1e-04,TNFSF14,10,0.0135237566395422,0.0208739714045591,-0.0273884755277125,0.0544359888067969,0.517064797026585,IVW
0.05,1e-04,TNFSF14,10,0.00955752142467165,0.0267510041511997,-0.0428734832619612,0.0619885261113045,0.720884365053951,PCA_0.90
0.05,1e-04,TNFSF14,10,0.0195511933150034,0.0202902623099893,-0.020216990049446,0.0593193766794529,0.335258951541527,PCA_0.99
