r2_thresh,P_thresh,Protein,N_ins,beta,SE,LCI,UCI,P_value,Method
0.05,1,TRAIL,80,0.000404574406158552,0.0258267602625773,-0.0502149455458433,0.0510240943581604,0.987501704920044,IVW
0.05,1,TRAIL,80,-0.01036272243056,0.0348169147943867,-0.0786026214803577,0.0578771766192376,0.76598197774476,PCA_0.90
0.05,1,TRAIL,80,0.0156129900933629,0.0300490348247969,-0.0432820359334288,0.0745080161201546,0.60335372893395,PCA_0.99
0.05,1,TRAIL,80,-0.0293045636040704,0.0322624441108184,-0.0925377921145108,0.0339286649063701,0.363710155025132,MR_Egger
0.05,1,TRAIL,80,0.00316311099176076,0.00221831626170206,-0.0011847089874948,0.00751093097101632,0.15389540904214,EggerInt
0.05,0.01,TRAIL,12,0.00308480246500552,0.0288579116068254,-0.0534756649534127,0.0596452698834237,0.91487129009807,IVW
0.05,0.01,TRAIL,12,-0.0170866460711246,0.037319710834111,-0.0902319352194313,0.0560586430771821,0.647063744395738,PCA_0.90
0.05,0.01,TRAIL,12,0.00125030675778643,0.0299549783579787,-0.0574603719815286,0.0599609854971015,0.966706339959057,PCA_0.99
0.05,0.01,TRAIL,12,0.0100373747852158,0.0399739138599702,-0.0683100567014322,0.0883848062718638,0.801738246167604,MR_Egger
0.05,0.01,TRAIL,12,-0.00126069420202807,0.00491773248355555,-0.0108992727553997,0.00837788435134352,0.797675335904968,EggerInt
0.05,0.001,TRAIL,7,-0.00820171839930088,0.0298861587397384,-0.066777513165435,0.0503740763668333,0.783752652014064,IVW
0.05,0.001,TRAIL,7,-0.00424170845128109,0.0381570945435581,-0.0790282395113448,0.0705448226087826,0.911486024309155,PCA_0.90
0.05,0.001,TRAIL,7,-0.0103415467938432,0.0303440473498325,-0.0698147867446929,0.0491316931570066,0.733246819858016,PCA_0.99
0.05,0.001,TRAIL,7,0.00602680599143357,0.0411132220652103,-0.074553628544776,0.0866072405276431,0.883455286899075,MR_Egger
0.05,0.001,TRAIL,7,-0.00290606624798882,0.00566075459857097,-0.0140009413865074,0.00818880889052977,0.607691951031303,EggerInt
0.05,1e-04,TRAIL,6,-0.0104102294690015,0.0314491030707418,-0.0720493388337435,0.0512288798957405,0.740630642627311,IVW
