r2_thresh,P_thresh,Protein,N_ins,beta,SE,LCI,UCI,P_value,Method
0.05,1,VEGF-A,68,0.0045027107162717,0.0116099035389165,-0.0182522820839888,0.0272577035165322,0.698139176733853,IVW
0.05,1,VEGF-A,68,0.00278445534540776,0.0186635667137753,-0.0337954632366523,0.0393643739274678,0.88140211127236,PCA_0.90
0.05,1,VEGF-A,68,0.00736314669663087,0.0182339421438167,-0.0283747232014369,0.0431010165946987,0.686348468848137,PCA_0.99
0.05,1,VEGF-A,68,,,,,,MR_Egger
0.05,1,VEGF-A,68,,,,,,EggerInt
0.05,0.01,VEGF-A,29,0.00697294472510944,0.0120661116372884,-0.0166761995174154,0.0306220889676343,0.563335059310852,IVW
0.05,0.01,VEGF-A,29,0.00215095639993672,0.0186376343708062,-0.0343781357238693,0.0386800485237427,0.908120705182923,PCA_0.90
0.05,0.01,VEGF-A,29,0.00727695761464272,0.0181445381527117,-0.0282856836807852,0.0428395989100707,0.688379636306892,PCA_0.99
0.05,0.01,VEGF-A,29,-0.0192081768883988,0.0211260215881125,-0.0606144183377149,0.0221980645609173,0.36323462014705,MR_Egger
0.05,0.01,VEGF-A,29,0.00664345378440086,0.00404702378177426,-0.00128856707245377,0.0145754746412555,0.10068012509389,EggerInt
0.05,0.001,VEGF-A,24,0.00722064873583645,0.0121689271766937,-0.0166300102609738,0.0310713077326467,0.552935078056857,IVW
0.05,0.001,VEGF-A,24,0.00190404406893999,0.0186048137540804,-0.034560720828133,0.038368808966013,0.918485636368532,PCA_0.90
0.05,0.001,VEGF-A,24,0.00699686530377737,0.0180660751785248,-0.0284119913881243,0.042405721995679,0.698539272351745,PCA_0.99
0.05,0.001,VEGF-A,24,-0.0247519456544867,0.0207566015311936,-0.065434137097075,0.0159302457881017,0.233070946172012,MR_Egger
0.05,0.001,VEGF-A,24,0.00823441770548433,0.00409314877584105,0.000211993521471653,0.016256841889497,0.0442456359689756,EggerInt
0.05,1e-04,VEGF-A,17,0.00502820690916954,0.0130106192979242,-0.0204721383313236,0.0305285521496627,0.69914902239928,IVW
0.05,1e-04,VEGF-A,17,0.0026167867891808,0.0185519610731104,-0.0337443887567046,0.0389779623350662,0.88782905127338,PCA_0.90
0.05,1e-04,VEGF-A,17,0.00980730853988861,0.0183742809187084,-0.0262056203026014,0.0458202373823786,0.59351315154607,PCA_0.99
0.05,1e-04,VEGF-A,17,-0.0324449267835913,0.0224117023708823,-0.0763710562627515,0.0114812026955688,0.147707146461113,MR_Egger
0.05,1e-04,VEGF-A,17,0.0100853812431645,0.00474561375564076,0.000784149197570701,0.0193866132887582,0.0335698772612203,EggerInt
0.05,1e-05,VEGF-A,16,0.00782602920049902,0.0128178643552232,-0.0172965232944582,0.0329485816954562,0.541493290085781,IVW
0.05,1e-05,VEGF-A,16,0.00122577636354406,0.0183491752572563,-0.0347379462866918,0.0371894990137799,0.946738690900224,PCA_0.90
0.05,1e-05,VEGF-A,16,0.00875430822048544,0.0181409690395489,-0.0268013377416865,0.0443099541826574,0.629400270613128,PCA_0.99
0.05,1e-05,VEGF-A,16,-0.0304478115641505,0.0241132109068005,-0.0777088364930978,0.0168132133647969,0.206696117208996,MR_Egger
0.05,1e-05,VEGF-A,16,0.0103555014365639,0.00509938118586898,0.000360897968819498,0.0203501049043082,0.0422816931078962,EggerInt
