r2_thresh,P_thresh,Protein,N_ins,beta,SE,LCI,UCI,P_value,Method
0.05,1,OPG,38,0.0459649504582807,0.0225331998042684,0.00180069038546966,0.0901292105310917,0.0413626026679486,IVW
0.05,1,OPG,38,0.0949805995441584,0.0443558428315568,0.00804474509038787,0.181916453997929,0.0322472490708827,PCA_0.90
0.05,1,OPG,38,0.0414543236761608,0.0323719443943332,-0.0219935214462655,0.104902168798587,0.200347100483596,PCA_0.99
0.05,1,OPG,38,0.0567797526397284,0.0455347392799775,-0.0324666963944488,0.146026201673906,0.212414144532813,MR_Egger
0.05,1,OPG,38,-0.00127582693207641,0.00467756376730473,-0.0104436834513832,0.00789202958723035,0.785041877420872,EggerInt
0.05,0.01,OPG,21,0.0503344269558522,0.0233602607974462,0.0045491571233947,0.0961196967883096,0.0311850730599943,IVW
0.05,0.01,OPG,21,0.087173406480212,0.0412588434555225,0.00630755926361182,0.168039253696812,0.0346143160104132,PCA_0.90
0.05,0.01,OPG,21,0.0400176152320638,0.031181498917596,-0.0210969996303989,0.101132230094527,0.199360064923441,PCA_0.99
0.05,0.01,OPG,21,0.0465201996665268,0.0557468317926462,-0.0627415828992721,0.155781982232326,0.404004657386433,MR_Egger
0.05,0.01,OPG,21,0.00046265944074903,0.00594825976653671,-0.0111957154723516,0.0121210343538496,0.93800254827015,EggerInt
0.05,0.001,OPG,18,0.0431109984314512,0.0244865205362487,-0.00488169992629659,0.0911036967891991,0.0783059185363632,IVW
0.05,0.001,OPG,18,0.0865232584521575,0.0405800849706747,0.00698775342005983,0.166058763484255,0.0329936459529871,PCA_0.90
0.05,0.001,OPG,18,0.0430853032229439,0.0309056132879387,-0.0174885857415385,0.103659192187426,0.163289482906902,PCA_0.99
0.05,0.001,OPG,18,0.0692460972176028,0.0586898758958359,-0.045783945795361,0.184276140230567,0.238054137295431,MR_Egger
0.05,0.001,OPG,18,-0.00348494821115224,0.00694807620416196,-0.0171029273331495,0.010133030910845,0.615969861569536,EggerInt
0.05,1e-04,OPG,14,0.0385215156809681,0.0251026846989056,-0.0106788422441515,0.0877218736060878,0.124892533440482,IVW
0.05,1e-04,OPG,14,0.0808363327887201,0.040583988508034,0.00129317696398602,0.160379488613454,0.0463899109841204,PCA_0.90
0.05,1e-04,OPG,14,0.0417911154613099,0.0316881478625946,-0.0203165130861554,0.103898744008775,0.187227689162911,PCA_0.99
0.05,1e-04,OPG,14,0.0405862761415932,0.0871657013169737,-0.130255359126851,0.211427911410037,0.641486027353012,MR_Egger
0.05,1e-04,OPG,14,-0.00029207911624416,0.0113921571866886,-0.022620296908373,0.0220361386758847,0.979545586980442,EggerInt
0.05,1e-05,OPG,12,0.0416726914357353,0.025902726399428,-0.00909571940853842,0.092441102280009,0.107656828139527,IVW
0.05,1e-05,OPG,12,0.0692408982165649,0.0364593002114504,-0.0022180170994115,0.140699813532541,0.0575475751703405,PCA_0.90
0.05,1e-05,OPG,12,0.0382070158207601,0.0317269108570935,-0.0239765867998561,0.100390618441376,0.228494385546729,PCA_0.99
0.05,1e-05,OPG,12,0.0388525253905456,0.0887294082633514,-0.135053919175174,0.212758969956265,0.661475790058516,MR_Egger
0.05,1e-05,OPG,12,0.000396084577792142,0.0114889480465005,-0.0221218398136007,0.022914008969185,0.972498162867909,EggerInt
