Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Molecular Function	GO:0001078	RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription	1	0.0009857861	1	1	41.63012	0.04804214	2	0.006005267	0.25	1	0.0003831624	1	1	68.33712	0.02926667	2	33	0.125	0.06060606	chr14:102230758-104230758,chr3:4026008-6026008	BHLHE40,RCOR1
GO Molecular Function	GO:0001227	RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription	2	0.001131621	1	1	38.82135	0.05151804	2	0.006439755	0.25	2	0.000431337	1	0.7953854	64.43214	0.03104041	2	35	0.125	0.05714286	chr14:102230758-104230758,chr3:4026008-6026008	BHLHE40,RCOR1
GO Molecular Function	GO:0004896	cytokine receptor activity	3	0.001313232	1	1	36.00073	0.05555442	2	0.006944303	0.25	9	0.002406509	1	0.9861339	27.17018	0.07361011	2	83	0.125	0.02409639	chr13:27604007-29604007,chr5:157792819-159792819	FLT3,IL12B
GO Molecular Function	GO:0042164	interleukin-12 alpha subunit binding	4	0.001809463	1	1	552.2126	0.001810897	1	0.0002263621	0.125	4	0.0008868688	1	0.817693	1127.562	0.0008868688	1	1	0.0625	1	chr5:157792819-159792819	IL12B
GO Molecular Function	GO:0045519	interleukin-23 receptor binding	5	0.001879794	1	1	531.5355	0.001881342	1	0.0002351677	0.125	7	0.001773	1	0.9341177	563.7812	0.001773738	1	2	0.0625	0.5	chr5:157792819-159792819	IL12B
GO Molecular Function	GO:0032395	MHC class II receptor activity	6	0.002495698	1	1	400.2518	0.002498427	1	0.0003123034	0.125	24	0.01059388	1	1	93.96354	0.01064243	1	12	0.0625	0.08333333	chr6:30154493-32154493	HLA-C
GO Molecular Function	GO:0019972	interleukin-12 binding	7	0.00286909	1	1	348.1048	0.002872698	1	0.0003590872	0.125	7	0.001773	1	0.9341177	563.7812	0.001773738	1	2	0.0625	0.5	chr5:157792819-159792819	IL12B
GO Molecular Function	GO:0004871	signal transducer activity	8	0.002968431	1	1	4.130964	1.210371	5	0.1512964	0.625	6	0.001689391	1	1	4.265684	1.406574	6	1586	0.375	0.003783102	chr12:110884608-112884608,chr13:27604007-29604007,chr14:102230758-104230758,chr5:157792819-159792819,chr6:30154493-32154493	ADRA1B,FLT3,HLA-C,IL12B,SH2B3,TRAF3
GO Molecular Function	GO:0000981	sequence-specific DNA binding RNA polymerase II transcription factor activity	9	0.004026772	1	1	8.530085	0.3516964	3	0.04396205	0.375	5	0.001658502	1	1	12.3908	0.2421152	3	273	0.1875	0.01098901	chr14:102230758-104230758,chr3:4026008-6026008,chr6:30154493-32154493	BHLHE40,POU5F1,RCOR1
GO Molecular Function	GO:0070851	growth factor receptor binding	10	0.004312064	1	1	19.6382	0.1018423	2	0.01273029	0.25	14	0.00410691	1	1	20.68922	0.0966687	2	109	0.125	0.01834862	chr12:110884608-112884608,chr5:157792819-159792819	ATXN2,IL12B
GO Molecular Function	GO:0005143	interleukin-12 receptor binding	11	0.004774882	1	1	208.9914	0.004784887	1	0.0005981109	0.125	15	0.004426976	1	1	225.5125	0.004434344	1	5	0.0625	0.2	chr5:157792819-159792819	IL12B
GO Molecular Function	GO:0043426	MRF binding	12	0.005217617	1	1	191.2204	0.005229567	1	0.0006536958	0.125	15	0.004426976	1	1	225.5125	0.004434344	1	5	0.0625	0.2	chr3:4026008-6026008	BHLHE40
