Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Molecular Function	GO:0017127	cholesterol transporter activity	1	1.821899e-05	0.06719164	0.06719164	306.2698	0.006530191	2	0.0009328844	0.2857143	1	3.674446e-05	0.1355136	0.1355136	214.7738	0.009312122	2	14	0.1666667	0.1428571	chr16:55993161-57993161,chr9:106661742-108661742	ABCA1,CETP
GO Molecular Function	GO:0015248	sterol transporter activity	2	2.075365e-05	0.07653946	0.03826973	286.9284	0.006970381	2	0.0009957687	0.2857143	2	4.238178e-05	0.156304	0.078152	200.4556	0.009977274	2	15	0.1666667	0.1333333	chr16:55993161-57993161,chr9:106661742-108661742	ABCA1,CETP
GO Molecular Function	GO:0023029	MHC class Ib protein binding	3	9.085081e-05	0.3350578	0.1116859	11006.63	9.085434e-05	1	1.297919e-05	0.1428571	6	0.0006651516	1	0.4088465	1503.417	0.0006651516	1	1	0.08333333	1	chr19:53793830-55793830	LILRB2
GO Molecular Function	GO:0015485	cholesterol binding	4	0.0001064547	0.3926049	0.09815123	126.422	0.01582003	2	0.002260004	0.2857143	4	0.0002117067	0.7807743	0.1951936	91.11616	0.02195	2	33	0.1666667	0.06060606	chr16:55993161-57993161,chr9:106661742-108661742	ABCA1,CETP
GO Molecular Function	GO:0032934	sterol binding	5	0.0001702348	0.6278259	0.1255652	99.87247	0.02002554	2	0.002860791	0.2857143	5	0.000296453	1	0.2186637	77.09829	0.02594091	2	39	0.1666667	0.05128205	chr16:55993161-57993161,chr9:106661742-108661742	ABCA1,CETP
GO Molecular Function	GO:0032396	inhibitory MHC class I receptor activity	6	0.0003434409	1	0.2111017	2911.281	0.0003434915	1	4.907021e-05	0.1428571	15	0.001994238	1	0.4903166	501.1389	0.001995455	1	3	0.08333333	0.3333333	chr19:53793830-55793830	LILRB2
GO Molecular Function	GO:0005548	phospholipid transporter activity	7	0.0003781109	1	0.1992104	66.85539	0.02991531	2	0.004273616	0.2857143	3	0.0001865841	0.6881222	0.2293741	96.99462	0.0206197	2	31	0.1666667	0.06451613	chr16:55993161-57993161,chr9:106661742-108661742	ABCA1,CETP
GO Molecular Function	GO:0043178	alcohol binding	8	0.0009422882	1	0.4343949	42.17358	0.04742305	2	0.006774722	0.2857143	8	0.0009016481	1	0.4156598	44.21814	0.04523031	2	68	0.1666667	0.02941176	chr16:55993161-57993161,chr9:106661742-108661742	ABCA1,CETP
GO Molecular Function	GO:0005319	lipid transporter activity	9	0.0009529304	1	0.3904897	41.93473	0.04769317	2	0.00681331	0.2857143	9	0.001095527	1	0.4489226	40.09111	0.04988637	2	75	0.1666667	0.02666667	chr16:55993161-57993161,chr9:106661742-108661742	ABCA1,CETP
GO Molecular Function	GO:0017129	triglyceride binding	10	0.001016077	1	0.3747292	983.7484	0.00101652	1	0.0001452172	0.1428571	12	0.001329898	1	0.408722	751.7083	0.001330303	1	2	0.08333333	0.5	chr16:55993161-57993161	CETP
GO Molecular Function	GO:0034188	apolipoprotein A-I receptor activity	11	0.001200402	1	0.4024621	832.6255	0.00120102	1	0.0001715743	0.1428571	6	0.0006651516	1	0.4088465	1503.417	0.0006651516	1	1	0.08333333	1	chr9:106661742-108661742	ABCA1
GO Molecular Function	GO:0030226	apolipoprotein receptor activity	12	0.001215065	1	0.37343	822.5723	0.001215699	1	0.0001736712	0.1428571	12	0.001329898	1	0.408722	751.7083	0.001330303	1	2	0.08333333	0.5	chr9:106661742-108661742	ABCA1
GO Molecular Function	GO:0004063	aryldialkylphosphatase activity	13	0.001285026	1	0.364552	777.7658	0.001285734	1	0.0001836763	0.1428571	12	0.001329898	1	0.408722	751.7083	0.001330303	1	2	0.08333333	0.5	chr7:93953895-95953895	PON1
GO Molecular Function	GO:0008289	lipid binding	14	0.001354829	1	0.3569007	6.881562	0.5812634	4	0.08303762	0.5714286	10	0.001150615	1	0.4243468	7.965121	0.5021895	4	755	0.3333333	0.005298013	chr16:55993161-57993161,chr20:43551855-45551855,chr7:93953895-95953895,chr9:106661742-108661742	ABCA1,CETP,PLTP,PON1
