exposure	outcome	id.exposure	id.outcome	samplesize	SNP	b	se	p
IL.6	Atopic dermatitis	ImbABK	4nec1Z	NA	rs2228145	-0.453504	0.10190	8.57e-06
IL.6	Atopic dermatitis	ImbABK	4nec1Z	NA	All - Inverse variance weighted	       NA	     NA	      NA
IL.6	Atopic dermatitis	ImbABK	4nec1Z	NA	All - MR Egger	       NA	     NA	      NA
IL.6	Rheumatoid arthritis	ImbABK	HYx53L	NA	rs2228145	 0.457007	0.08420	5.72e-08
IL.6	Rheumatoid arthritis	ImbABK	HYx53L	NA	All - Inverse variance weighted	       NA	     NA	      NA
IL.6	Rheumatoid arthritis	ImbABK	HYx53L	NA	All - MR Egger	       NA	     NA	      NA
IL.6	Abdominal aortic aneurysm	ImbABK	Ku3B84	NA	rs2228145	 0.000895	0.00634	8.88e-01
IL.6	Abdominal aortic aneurysm	ImbABK	Ku3B84	NA	All - Inverse variance weighted	       NA	     NA	      NA
IL.6	Abdominal aortic aneurysm	ImbABK	Ku3B84	NA	All - MR Egger	       NA	     NA	      NA
IL.6	Coronary artery disease	ImbABK	SGZG4k	NA	rs2228145	 0.230998	0.03088	7.39e-14
IL.6	Coronary artery disease	ImbABK	SGZG4k	NA	All - Inverse variance weighted	       NA	     NA	      NA
IL.6	Coronary artery disease	ImbABK	SGZG4k	NA	All - MR Egger	       NA	     NA	      NA
