Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
GO Molecular Function	GO:0030377	urokinase plasminogen activator receptor activity	1	0.0001849887	0.6822383	0.6822383	5405.299	0.0001850036	1	2.312545e-05	0.125	8	0.0008314395	1	0.3832936	1202.733	0.0008314395	1	1	0.06666667	1	chr19:43153100-45153100	PLAUR
GO Molecular Function	GO:0008201	heparin binding	2	0.0002552114	0.9412196	0.4706098	22.14235	0.135487	3	0.01693587	0.375	1	0.000167033	0.6160177	0.6160177	27.12932	0.1105815	3	133	0.2	0.02255639	chr17:63224775-65224775,chr1:195710916-197710916,chr3:185449122-187449122	APOH,CFH,KNG1
GO Molecular Function	GO:0060230	lipoprotein lipase activator activity	3	0.0003910353	1	0.4807127	2556.876	0.0003911022	1	4.888778e-05	0.125	12	0.002492383	1	0.7659924	400.9111	0.002494318	1	3	0.06666667	0.3333333	chr17:63224775-65224775	APOH
GO Molecular Function	GO:0005539	glycosaminoglycan binding	4	0.0005490595	1	0.5062329	17.04263	0.1760291	3	0.02200364	0.375	6	0.0003809524	1	0.2341587	20.50114	0.1463334	3	176	0.2	0.01704545	chr17:63224775-65224775,chr1:195710916-197710916,chr3:185449122-187449122	APOH,CFH,KNG1
GO Molecular Function	GO:1901681	sulfur compound binding	5	0.0005722149	1	0.4220657	16.8029	0.1785406	3	0.02231758	0.375	5	0.000362237	1	0.267186	20.85665	0.143839	3	173	0.2	0.01734104	chr17:63224775-65224775,chr1:195710916-197710916,chr3:185449122-187449122	APOH,CFH,KNG1
GO Molecular Function	GO:0017042	glycosylceramidase activity	6	0.0006274365	1	0.3856643	1593.349	0.0006276088	1	7.84511e-05	0.125	10	0.001662234	1	0.6130319	601.3667	0.001662879	1	2	0.06666667	0.5	chr14:93844947-95844947	SERPINA6
GO Molecular Function	GO:0004565	beta-galactosidase activity	7	0.0006875386	1	0.3622346	1454.026	0.0006877455	1	8.596819e-05	0.125	15	0.00415075	1	1	240.5467	0.004157197	1	5	0.06666667	0.2	chr14:93844947-95844947	SERPINA6
GO Molecular Function	GO:0015925	galactosidase activity	8	0.0009584239	1	0.4418334	1042.942	0.000958826	1	0.0001198533	0.125	16	0.005806543	1	1	171.819	0.005820076	1	7	0.06666667	0.1428571	chr14:93844947-95844947	SERPINA6
GO Molecular Function	GO:0001948	glycoprotein binding	9	0.002190864	1	0.8977674	27.75745	0.07205273	2	0.009006591	0.25	9	0.001074193	1	0.4401804	40.77062	0.04905493	2	59	0.1333333	0.03389831	chr17:63224775-65224775,chr1:195710916-197710916	APOH,CFH
GO Molecular Function	GO:0008422	beta-glucosidase activity	10	0.002250788	1	0.8300906	443.8512	0.002253007	1	0.0002816259	0.125	12	0.002492383	1	0.7659924	400.9111	0.002494318	1	3	0.06666667	0.3333333	chr14:93844947-95844947	SERPINA6
